id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
43	double blind	-0.7338	0.4549	3	43	84	16	2015.8125	9.375	0.8196
44	dynamic causal modeling	1.0056	0.1292	1	33	44	17	2014.1176	27.1765	1.1871
45	emotion regulation	-0.0924	0.5089	5	79	191	49	2014.4898	29.5306	1.323
46	emotional experience	0.2721	0.3492	5	61	98	27	2014.5926	32.2963	1.6422
47	emotional expression	0.5171	0.4195	5	69	136	33	2013.2121	20.697	0.8659
48	emotional information	0.8351	0.3894	1	44	76	20	2014	15.95	0.7458
49	emotional state	0.4359	0.316	5	88	158	39	2013.3077	31.9487	1.2136
50	emotional stimuli	0.2537	0.4365	5	85	151	44	2013.3409	26.6364	0.7772
51	empathic response	-0.2315	0.4009	3	55	101	27	2014.8519	23.4074	1.2704
52	english	1.5355	-0.1748	1	30	109	25	2014.24	8.6	0.5144
53	episodic memory	0.4466	-0.3758	4	22	30	16	2015.1875	19.25	1.5442
54	exclusion	-1.3076	0.3426	3	54	193	34	2014.4118	35.3235	1.2938
55	execution	0.6611	-0.0303	1	67	114	33	2014.2424	13.6364	0.6436
56	expression	0.5631	0.3822	5	122	393	103	2013.6214	16.5825	0.625
57	eye	0.8896	0.049	1	55	90	25	2014.36	15.88	0.6962
58	face processing	0.7721	0.3635	1	38	63	21	2013.7619	13.0952	0.4853
59	facial expression	0.5477	0.5163	5	110	371	90	2013.3444	20	0.8082
60	fairness	-1.0058	-0.0303	2	65	147	23	2014.3913	20	1.3825
61	fear	0.5334	0.4676	5	78	194	47	2013.3191	28.617	1.1462
62	ffa	0.8052	0.4083	1	45	98	32	2014.1562	19.4688	0.7277
63	fmri scan	-0.3531	0.1311	3	51	75	18	2015.1111	36.7778	2.0061
64	functional coupling	-0.1939	0.1708	5	80	135	27	2014.963	17.2593	1.4076
65	functional network	0.5311	-0.3185	4	48	79	24	2014.75	49.875	2.0932
66	fusiform face area	0.802	0.4389	1	53	118	36	2014.4167	18.0278	0.7546
67	fusiform gyrus	0.8697	0.0969	1	107	246	73	2013.6438	19.4795	0.7576
68	gain	-0.8931	-0.4487	2	86	301	58	2014.3448	23.7586	1.0331
69	game	-0.8073	-0.075	2	141	622	120	2014.15	20.2417	0.8105
70	gaze	0.9714	0.1436	1	49	87	32	2013.4062	16.9688	0.5802
71	gesture	1.1904	0.0101	1	59	147	32	2012.7188	19.7812	0.6417
72	happiness	0.582	0.4906	5	51	99	18	2013.8889	38.9444	1.8489
73	harm	-0.6935	-0.0478	2	41	85	22	2014.2727	29.5455	1.2037
74	higher activation	-0.3493	0.0025	2	73	116	23	2014.8696	11.3478	0.6838
75	human participant	-0.3184	-0.5933	2	49	87	24	2015	21.375	1.2068
76	imitation	0.6725	-0.0244	1	64	124	30	2013.7	23.9	0.8827
77	inclusion	-1.4169	0.4227	3	45	126	19	2013.8421	38	1.2022
78	independent component analysis	0.4636	-0.461	4	42	61	19	2015.1053	15.7895	0.7556
79	ipl	0.5421	-0.2277	1	58	88	23	2014.2609	13.3478	0.636
80	language	1.2185	-0.1608	1	102	463	132	2014.2576	13.7121	0.7035
81	language processing	1.4296	-0.1425	1	37	88	25	2013.68	13.96	0.6063
82	left inferior frontal gyrus	0.896	-0.0029	1	76	141	33	2014.1818	15.4848	0.6711
83	listener	1.1879	-0.0374	1	42	93	23	2014.087	17.6957	0.8376
84	loss	-0.9383	-0.3391	2	84	242	48	2014.2292	15.5	0.7919
85	low frequency fluctuation	0.7108	-0.5369	4	32	57	19	2015.2105	15.0526	0.9909
86	map	0.5623	-0.141	4	62	92	36	2014.6944	16.8333	0.9291
87	meaning	0.8658	-0.0785	1	106	238	59	2014.1017	15.8814	0.7109
88	medial pfc	0.1585	0.0381	1	42	50	20	2012.45	54.55	1.6406
89	memory task	0.3848	-0.244	4	44	65	30	2014.1333	14.6	0.6158
90	mentalizing	0.1793	-0.0922	1	52	69	20	2013.4	45.65	1.177
91	midbrain	-0.2485	-0.0494	2	59	89	17	2013.9412	18.0588	0.8257
92	mirror neuron system	0.6821	0.0475	1	62	119	33	2013.0303	32.7273	0.9205
93	modality	0.7936	0.0281	1	80	153	48	2014.2083	24.9375	1.335
94	monetary reward	-0.8996	-0.3048	2	56	134	21	2013.3333	32.9048	1.0654
95	money	-1.1537	-0.1944	2	96	320	51	2014.0588	25.1765	1.0413
96	moral judgment	-0.2675	-0.1761	2	45	91	33	2013.3939	25.303	1.1411
97	morphometry	0.6609	0.2715	1	21	22	18	2014.8333	23.8889	1.0617
98	mother	-0.2197	0.2411	3	47	76	20	2014.8	16.6	1.5149
99	motion	0.8341	-0.0964	1	76	131	36	2012.9722	29.3889	1.1558
100	motor	0.7787	-0.0587	1	51	79	26	2013.5769	25.9231	0.773
101	movement	0.8394	0.0967	1	95	230	85	2013.9882	22.5294	0.9653
102	movie	0.603	0.1134	1	62	82	28	2014.5357	22.0357	1.2567
103	multivoxel pattern analysis	0.3427	0.0736	1	42	55	19	2014.8421	34.3158	2.2741
104	mvpa	0.5289	0.0533	1	51	61	18	2014.8333	23.8333	1.4194
105	negative emotion	-0.112	0.3676	5	91	163	41	2014.561	21.8537	1.1251
106	neural circuitry	-0.3725	0.1961	3	77	109	24	2014.6667	25.625	1.1926
107	neuroimaging result	-0.1189	-0.5253	2	38	54	16	2015.625	8.3125	0.8998
108	neutral face	0.1546	0.753	5	45	80	23	2013.4348	18	0.6488
109	norm violation	-1.0944	-0.0255	2	65	176	27	2014.9259	17.1852	1.1174
110	nucleus accumben	-0.5882	-0.033	2	89	187	48	2014.5	26.4583	1.4264
111	occipital	0.9142	0.2535	1	64	120	33	2013	20.9091	0.6928
112	offer	-1.2725	0.1222	2	64	185	26	2014.1154	15.3846	0.8214
113	opponent	-0.6705	-0.3629	2	53	111	23	2014.3478	17.4783	0.8309
114	opportunity	-0.6621	-0.1816	2	73	114	25	2014.92	25.64	1.2592
115	others pain	-0.1252	0.4584	3	33	55	16	2014.6875	18.0625	0.8203
116	outcome	-0.4843	-0.3968	2	146	569	134	2014.3134	23.1642	1.1043
117	oxytocin	-0.593	0.4142	3	43	96	22	2015.5909	17.4091	1.2003
118	pain	-0.4924	0.3636	3	126	411	116	2014.4052	35.1897	1.3935
119	parent	-0.4848	-0.0107	3	49	76	17	2015.7647	23.4706	1.3109
120	partner	-0.4716	-0.0819	2	140	430	88	2014.7045	18.6023	0.8617
121	peer	-0.822	0.0401	3	77	178	46	2015.0217	21.9348	1.1998
122	physical pain	-0.8538	0.5054	3	48	118	24	2014.1667	43.4167	1.4567
123	placebo	-0.6108	0.3939	3	79	187	47	2014.5532	22.1064	1.1436
124	player	-1.1939	-0.0544	2	75	203	35	2013.7143	22.6857	0.7733
125	posterior insula	-0.3913	0.3346	5	62	104	26	2014.5	31	1.4601
126	posterior superior temporal sulcus	0.9025	0.0895	1	85	186	46	2013.413	19.5	0.8252
127	ppi	0.2066	0.2305	1	73	110	22	2014.3182	30.3636	1.1909
128	prediction error	-0.609	-0.3775	2	64	134	30	2013.7667	30.4333	1.2675
129	premotor	0.8352	-0.1385	1	43	71	18	2012.3889	30.1667	0.9803
130	premotor cortex	0.7815	-0.008	1	74	147	38	2013.5526	22.2368	0.9029
131	production	1.0236	-0.2447	1	70	149	39	2014.1026	19.1795	0.7701
132	prosocial behavior	-1.04	0.2451	3	65	126	25	2014.84	46.92	1.7328
133	pst	0.9103	0.1497	1	66	140	34	2013.7647	22.0882	0.7814
134	psychophysiological interaction	0.2002	0.2117	1	77	113	21	2014.0952	32.1905	1.232
135	psychophysiological interaction analysis	0.0065	0.3755	5	55	67	18	2015.0556	15.2778	0.9819
136	punishment	-1.0017	-0.1738	2	82	199	34	2014.0588	19.4706	1.0011
137	reactivity	-0.2551	0.4193	3	96	189	51	2014.6863	25.0196	1.2377
138	reading	0.8877	-0.0905	1	67	133	29	2014.2069	14.5172	0.8416
139	reappraisal	-0.0535	0.5472	5	56	129	29	2014.3103	36.3793	1.4609
140	reasoning	0.0008	-0.1936	2	91	180	62	2013.5968	25.7258	0.9307
141	rejection	-1.0196	0.3064	3	76	195	41	2014.0244	37.2927	1.2329
142	rest	0.4986	-0.2848	4	66	103	31	2014.6774	26.4839	1.5675
143	reward	-0.7079	-0.335	2	142	773	185	2014.5676	23.3027	1.2757
144	reward processing	-0.5404	-0.2888	2	101	246	51	2013.9608	22.6471	1.0945
145	reward system	-0.8347	-0.418	2	56	140	30	2013.6	22.2333	0.7656
146	right anterior insula	-0.7811	0.2561	2	32	43	15	2014	31.1333	0.7705
147	right hemisphere	1.2162	-0.0423	1	32	45	16	2013.125	19.6875	0.6926
148	right temporo parietal junction	0.0749	-0.1629	2	46	75	21	2012.9524	32.381	1.0582
149	right temporoparietal junction	-0.4499	-0.3882	2	45	91	21	2015.619	13.9048	1.0838
150	risk	-0.9316	-0.2147	3	95	305	78	2015	20.4744	1.2445
151	risky decision	-0.9522	-0.4642	3	47	116	19	2015	18.1579	1.2174
152	rs fmri	0.4189	-0.5492	4	38	64	15	2016.0667	5	0.6067
153	rsfc	0.1986	-0.4626	4	33	51	15	2016.1333	10.2	1.1389
154	rtpj	-0.3155	-0.2697	2	51	90	19	2014.0526	28.6842	1.194
155	sadness	0.5511	0.5038	5	56	121	20	2014.1	32.55	1.655
156	seed	0.4538	-0.2343	4	66	96	25	2014.92	14.84	1.1513
157	self control	-0.3467	-0.3142	4	47	84	28	2014.6786	23.7143	1.2306
158	semantic processing	1.1127	-0.1094	1	44	73	18	2014.8889	15.7222	1.1235
159	sentence	0.9619	-0.0683	1	84	234	63	2014.2063	15.0159	0.7443
160	social exclusion	-1.3009	0.3868	3	60	237	40	2014.725	31.35	1.3329
161	social influence	-0.766	-0.1454	3	62	116	25	2014.6	21.72	0.8949
162	social network	-0.188	-0.4802	2	32	39	20	2015.35	17.5	1.1074
163	social neuroscience	-0.5933	-0.2661	2	43	60	21	2013.8095	39.7143	1.0339
164	social norm	-1.0371	-0.2099	2	60	145	24	2014.5	20.4583	1.1884
165	social pain	-1.214	0.5211	3	39	115	22	2014.1364	38.0909	1.4039
166	social rejection	-1.0646	0.4837	3	42	105	21	2014.1905	44.2381	1.4309
167	social relationship	-0.8147	0.3518	3	52	78	23	2015.6087	12.3043	0.881
168	social reward	-0.9604	-0.3575	2	53	108	23	2014	25.9565	1.2952
169	society	-0.6508	-0.0781	2	79	156	41	2015.4878	22.8537	0.9578
170	sound	0.9167	-0.1827	1	56	92	30	2013.4667	15.7	0.7802
171	speaker	1.3416	-0.1065	1	54	165	42	2014.119	13.4524	0.6416
172	speech	1.2797	0.0285	1	63	179	45	2014.0667	17.6667	0.7807
173	spontaneous brain activity	0.7414	-0.5267	4	30	53	16	2015.6875	11.0625	1.0871
174	state functional magnetic resonance imaging	0.4728	-0.5505	4	48	102	25	2015.8	9.68	0.882
175	story	0.5287	0.0156	1	65	123	35	2014.0571	25.4857	1.0456
176	stranger	-0.5196	0.135	3	74	124	34	2014.9706	14.9706	0.817
177	stress	-0.3477	0.2437	3	64	108	34	2015.0882	21.1176	1.2007
178	striatum	-0.7309	-0.3084	2	107	293	59	2014.1864	25.5424	0.9912
179	subjective value	-0.9388	-0.7474	2	41	92	17	2014.9412	39.9412	2.3205
180	superior parietal lobule	0.8131	-0.0103	1	63	102	29	2014.8621	11.069	0.6253
181	susceptibility	-0.883	0.0257	3	47	66	19	2014.6842	24	1.3288
182	task demand	0.6184	-0.1352	4	61	90	31	2014.2581	20.3871	0.7729
183	tom	0.2554	-0.0513	1	81	139	46	2014.087	19.6304	0.8869
184	trust	-0.7971	-0.0314	2	55	112	25	2015.12	14.8	0.8236
185	ultimatum game	-1.2056	-0.0335	2	65	227	32	2014.5	18.1562	1.105
186	unfair offer	-1.2281	0.1205	2	55	149	18	2013.8889	21.8889	0.9223
187	utility	-0.4245	-0.5271	2	39	66	19	2013.4737	26	0.9224
188	valuation	-0.9562	-0.6847	2	49	146	33	2013.6364	38.5152	1.3987
189	ventral mpfc	0.0173	0.0017	3	24	27	15	2013.1333	41.2	1.5104
190	ventral striatum	-0.6868	-0.177	2	135	493	106	2014.3774	25.4528	1.1976
191	ventrolateral prefrontal cortex	-0.46	0.2328	3	67	129	35	2014.2857	26.0857	1.182
192	victim	-0.8772	0.2139	3	56	91	21	2014.8095	24.2857	1.226
193	violation	-0.5295	-0.0267	2	80	137	26	2013.5769	19.4615	0.8601
194	vlpfc	-0.3219	0.1431	3	43	69	17	2015.3529	11.2941	0.6887
195	vmpfc	-0.2607	-0.3066	2	129	354	82	2014.8415	25.9756	1.3185
196	voice	0.9529	0.1989	1	62	122	36	2013.8889	22.4722	0.8962
197	whole brain	0.3067	-0.4285	4	49	64	19	2015	21.8421	0.8713
198	willingness	-0.9285	-0.076	2	62	101	19	2015.2105	10.8947	0.7493
199	word	1.0807	-0.1756	1	92	301	102	2014.098	13.8529	0.6916
200	working memory	0.606	-0.1857	4	51	68	32	2014.375	16.3438	0.8353
