Term,"exclude (yes, maybe) initial","class (disorder, method, non-human, patients/disorder, other)",comment (initial),comment (Anna),comment (Peder),exclude - final
dyscalculia,yes,disorder,,,,yes
dyslexia,yes,disorder,,,,yes
dyslexic-children,yes,disorder,,,,yes
dysphagia,yes,disorder,,,,yes
early alzheimers-disease,yes,disorder,,,,yes
early brain lesions,yes,other,invasive,,,yes
early diagnosis,yes,disorder,,,,yes
early infancy,yes,other,unfeasible participant population,,,yes
electroencephalograph,yes,method,,,,yes
electroencephalography,yes,method,,,,yes
electromagnetic tomography,yes,method,,,,yes
electromyographic activity,yes,method,,,,yes
electromyographic recording (emg),yes,method,,,,yes
electromyographic responses,yes,method,,,,yes
elephant,yes,non-human,,,,yes
emission computerized-tomography,yes,method,,,,yes
"empathy for pain, n1, p3",yes,method,,,,yes
endometrial cancer,yes,disorder,,,,yes
epilepsy,yes,disorder,,,,yes
epilepsy surgery,yes,disorder,,,,yes
erp,yes,method,,,,yes
erp analysis,yes,method,,,,yes
erp components,yes,method,,,,yes
erp data,yes,method,,,,yes
erp decomposition,yes,method,,,,yes
error-related negativity,yes,method,,,,yes
european starling,yes,non-human,,,,yes
event related potentials,yes,method,,,,yes
event-related brain potential,yes,method,,,,yes
event-related brain potential (erp),yes,method,,,,yes
event-related brain potentials (erps),yes,method,,,,yes
event-related potential,yes,method,,,,yes
event-related potential (erp),yes,method,,,,yes
event-related potentials,yes,method,,,,yes
event-related potentials (erp),yes,method,,,,yes
event-related potentials (erps),yes,method,,,,yes
event-related-potential,yes,method,,,,yes
evoked potentials,yes,method,,,,yes
evoked-potentials,yes,method,,,,yes
excitotoxic lesions,yes,other,invasive,,,yes
familial prosopagnosia,yes,disorder,,,,yes
fdg-pet,yes,method,,,,yes
female prairie voles,yes,non-human,,,,yes
female rats,yes,non-human,,,,yes
female songbirds,yes,non-human,,,,yes
fibromyalgia,yes,disorder,,,,yes
finch taeniopygia-guttata,yes,non-human,,,,yes
fmri/pet/mri,yes,method,,,,yes
fnirs,yes,method,,,,yes
fnirs data,yes,method,,,,yes
focal brain-lesions,yes,other,invasive,,,yes
focused ultrasound thalamotomy,yes,method,,,,yes
freely moving cats,yes,non-human,,,,yes
frontal damage,yes,disorder,,,,yes
frontal lesions,yes,other,invasive,,,yes
frontal-lobe damage,yes,disorder,,,,yes
frontotemporal dementia,yes,disorder,,,,yes
functional near,yes,method,,,,yes
functional near infrared spectroscopy,yes,method,,,,yes
functional near-infrared spectroscopy,yes,method,,,,yes
functional near-infrared spectroscopy (fnirs),yes,method,,,,yes
gastric cancer,yes,disorder,,,,yes
gastric-cancer,yes,disorder,,,,yes
gender dysphoria,yes,disorder,,,,yes
generalized social phobia,yes,disorder,,,,yes
grapheme-color synesthesia,yes,disorder,,,,yes
guppy poecilia-reticulata,yes,non-human,,,,yes
hand-reared wolves,yes,non-human,,,,yes
hemineglect dyslexia,yes,disorder,,,,yes
hemiparkinsons-disease,yes,disorder,,,,yes
hemiplegic children,yes,disorder,,,,yes
hemispatial neglect,yes,disorder,,,,yes
hereditary prosopagnosia,yes,disorder,,,,yes
hippocampal damage,yes,disorder,,,,yes
hippocampal-lesions,yes,other,invasive,,,yes
hpa axis dysregulation,yes,disorder,,,,yes
huntington's disease,yes,disorder,,,,yes
huntingtons-disease,yes,disorder,,,,yes
idiopathic generalized epilepsy,yes,disorder,,,,yes
idiopathic normal pressure hydrocephalus,yes,disorder,,,,yes
idiopathic-generalized epilepsy,yes,disorder,,,,yes
initial prodrome,yes,disorder,psychosis,,,yes
intensity-modulated radiotherapy/3d conformal radiotherapy kidney morphology,yes,other,invasive,,,yes
ischemic-stroke,yes,disorder,,,,yes
laser doppler flowmetry,yes,method,,,,yes
lateralized tinnitus,yes,disorder,,,,yes
left hemialexia,yes,disorder,,,,yes
left hemiparalexia,yes,disorder,,,,yes
lesion analysis,yes,other,invasive,,,yes
lesion location,yes,other,invasive,,,yes
lesion-behavior mapping,yes,other,invasive,,,yes
lesion-symptom mapping,yes,other,invasive,,,yes
lesions,yes,other,invasive,,,yes
lobar degeneration,yes,disorder,,,,yes
lobe damage,yes,disorder,,,,yes
lobe epilepsy,yes,disorder,,,,yes
localization-related epilepsy,yes,disorder,,,,yes
lokomat,yes,disorder,no idea what it means,,seems to be gait rehabilitation system,yes
macaca-mulatta,yes,nonhuman,,,,yes
macaque monkeys,yes,nonhuman,,,,yes
macaque visual-cortex,yes,nonhuman,,,,yes
magnetoencephalography,yes,method,,,,yes
magnetoencephalography (meg),yes,method,,,,yes
male european starlings,yes,nonhuman,,,,yes
male prairie voles,yes,nonhuman,,,,yes
male zebra finches,yes,nonhuman,,,,yes
malignant middle cerebral artery infarction,yes,patient/disorder,,,,yes
meg,yes,method,,,,yes
microtus-ochrogaster,yes,not human,,,,yes
molecular genetics,yes,method,,either it might be about a genetic disease (feasibility) or measuring genetics / epigenetics (feasibility) I guess?,Could this also exclude simple SNP studies? I have not excluded any genetics-related terms from my section. Should I?,
molecular imaging,yes,method,,,,yes
monkeys,yes,nonhuman,,,,yes
monogamous prairie voles,yes,nonhuman,,,,yes
ms patients,yes,patients/disorder,,,,yes
munchausens-syndrome,yes,disorder,,,,yes
musculoskeletal pain,yes,patients/disorder,,,,yes
n170,yes,method,,,,yes
n2,yes,method,,,,yes
n2 component,yes,method,,,,yes
n250r,yes,method,,,,yes
n270,yes,method,,,,yes
n400,yes,method,,,,yes
near infrared spectroscopy,yes,method,,,,yes
near-infrared spectroscopy,yes,method,,,,yes
near-infrared spectroscopy (nirs),yes,method,,,,yes
nirs,yes,method,,,,yes
nirs time series feature extraction,yes,method,,,,yes
nirs-fmri,yes,method,,,,yes
nmr spectroscopy,yes,method,,,,yes
p-fit,yes,method,,,,yes
p-star,yes,method,,,,yes
p1,yes,method,,yes lets exclude,"p100 in eeg signal, right?",yes
p2,yes,method,,yes lets exclude,"p200 in eeg signal, right?",yes
p3,yes,method,,yes lets exclude,"p200 in eeg signal, right?",yes
p300,yes,method,,,,yes
p300 amplitude,yes,method,,,,yes
p3a,yes,method,,yes lets exclude,"From Wikipedia: Since the initial discovery of the P300, research has shown that the P300 has two subcomponents. The subcomponents are the novelty P3, or P3a, and the classic P300, which has since been renamed P3b",yes
p3b,yes,method,,yes lets exclude,"From Wikipedia: Since the initial discovery of the P300, research has shown that the P300 has two subcomponents. The subcomponents are the novelty P3, or P3a, and the classic P300, which has since been renamed P3b",yes
paedophilia,yes,disorder,,,,yes
patient,yes,patients/disorder,,,,yes
patient self-reports,yes,patients/disorder,,,,yes
pigeon columba-livia,yes,nonhuman,,,,yes
positron emission tomography,yes,method,,,,yes
positron-emission-tomography,yes,method,,,,yes
potentials,yes,method,,,,yes
prairie vole,yes,not human,,,,yes
primary generalized epilepsy,yes,patients/disorder,,,,yes
primate,yes,nonhuman,,yes lets exclude,"To be fair to the taxonomists, humans are primates, but I agree that this terms probably always refer to the non-humans",yes
primate amygdala,yes,nonhuman,,yes lets exclude,"To be fair to the taxonomists, humans are primates, but I agree that this terms probably always refer to the non-humans",yes
primate orbitofrontal cortex,yes,nonhuman,,yes lets exclude,"To be fair to the taxonomists, humans are primates, but I agree that this terms probably always refer to the non-humans",yes
primate striatum,yes,nonhuman,,yes lets exclude,"To be fair to the taxonomists, humans are primates, but I agree that this terms probably always refer to the non-humans",yes
primate vocalizations,yes,nonhuman,,yes lets exclude,"To be fair to the taxonomists, humans are primates, but I agree that this terms probably always refer to the non-humans",yes
primates,yes,nonhuman,,yes lets exclude,"To be fair to the taxonomists, humans are primates, but I agree that this terms probably always refer to the non-humans",yes
rats,yes,nonhuman,,,,yes
recurrent glioblastoma,yes,patients/disorder,,,,yes
rhesus macaques,yes,nonhuman,,,,yes
rhesus-monkeys,yes,nonhuman,,,,yes
schizophrenic-patients,yes,disorder,,,,yes
sclerosis,yes,patients/disorder,,,,yes
spinal-cord-injury,yes,patients/disorder,,,,yes
stereotactic radiosurgery,yes,patients/disorder,,,,yes
stroke,yes,patients/disorder,,,,yes
stroke aphasia,yes,patients/disorder,,,,yes
stroke patients,yes,patients/disorder,,,,yes
stroke rehabilitation,yes,patients/disorder,,,,yes
transcranial direct current stimulation,yes,method,,,,yes
transcranial direct current stimulation (tdcs),yes,method,,,,yes
transcranial magnetic stimulation,yes,method,,,,yes
transcranial magnetic stimulation (tms),yes,method,,,,yes
transcranial random noise stimulation,yes,method,,,,yes
tumor surgery,yes,patients/disorder,,,,yes
women with spinal cord injury,yes,patients/disorder,,,,yes
xxy syndrome,yes,patients/disorder,,,,yes
zebra finch,yes,honhuman,,,,yes
zebra finches,yes,honhuman,,,,yes
auricular acupoints,yes,other,not relevant for social neuroscience,,,yes
ear acupuncture,yes,other,not relevant for social neuroscience,,,yes
electroacupuncture,yes,other,not relevant for social neuroscience,,,yes
electroacupuncture stimulation,yes,other,not relevant for social neuroscience,,,yes
implicated acupoints,yes,other,not relevant for social neuroscience,,,yes
manual acupuncture,yes,other,not relevant for social neuroscience,,,yes
sham acupuncture,yes,other,not relevant for social neuroscience,,,yes
7 t,maybe,method,,,,
7 tesla,maybe,method,,,,
7-tesla,maybe,method,,,,
7t,maybe,method,,,,
7t fmri,maybe,method,,,,
abuse,maybe,other,population may be unfeasible to sample from,Let's leave in on basis of not knowing from one keyword whether measured in 'normal' sample,"agree, don't exclude",
acalculia,maybe,disorder,,Let's leave in on basis of not knowing from one keyword whether measured in 'normal' sample,"agree, don't exclude",
acupoint stimulation,maybe,,may require professional,Let's exclude on basis of probability of being outside of social neuroscience,"agree, exclude",yes
acupuncture,maybe,,may require professional,Let's exclude on basis of probability of being outside of social neuroscience,"agree, exclude",yes
acupuncture point,maybe,,may require professional,Let's exclude on basis of probability of being outside of social neuroscience,"agree, exclude",yes
addiction,maybe,,"signals disorders, but is often used even with healthy subject population",Let's leave in on basis of not knowing from one keyword whether measured in 'normal' sample,"agree, don't exclude",
addictive behaviors,maybe,,"signals disorders, but is often used even with healthy subject population",Let's leave in on basis of not knowing from one keyword whether measured in 'normal' sample,"agree, don't exclude",
age-children,maybe,,,Let's exclude on basis of probability of being outside of social neuroscience,"agree, exclude (but I think it might very well be in the perview of social neuroscience)",yes
alcohol dependence,maybe,disorder,"signals disorder, but is also used when studying healthy subjects",Let's leave in on basis of not knowing from one keyword whether measured in 'normal' sample,"agree, don't exclude",
alcohol dependency,maybe,disorder,"signals disorder, but is also used when studying healthy subjects",Let's leave in on basis of not knowing from one keyword whether measured in 'normal' sample,"agree, don't exclude",
alcohol exposure,maybe,disorder,"signals disorder, but is also used when studying healthy subjects",Let's leave in on basis of not knowing from one keyword whether measured in 'normal' sample,"agree, don't exclude",
alcohol-dependence,maybe,disorder,"signals disorder, but is also used when studying healthy subjects",Let's leave in on basis of not knowing from one keyword whether measured in 'normal' sample,"agree, don't exclude",
alcoholism,maybe,disorder,"signals disorder, but is also used when studying healthy subjects",Let's leave in on basis of not knowing from one keyword whether measured in 'normal' sample,"agree, don't exclude",
animals,maybe,,unclear if this refers to population,Let's leave in on basis of not knowing from one keyword whether measured in 'normal' sample,,
anxiety,maybe,disorder,could also refer to state in healthy humans,Let's leave in on basis of not knowing from one keyword whether measured in 'normal' sample,,
ataxia,maybe,disorder,,Let's leave in on basis of not knowing from one keyword whether measured in 'normal' sample,,
autonomic dysreflexia,maybe,disorder,,Let's exclude on basis of probability of being outside of social neuroscience,"agree, exclude",yes
bat,maybe,non-human,,exclude,"agree, exclude",yes
behavioral therapy,maybe,other,may require expert,Let's leave in on basis of not knowing from one keyword whether measured in 'normal' sample,"agree, don't exclude",
brood parasite,maybe,,,exclude,"agree, exclude",yes
cantonese-mandarin,maybe,,,I did not exclude 'mandarin' on the basis of the study might be in mandarin and can be replicated by researchers who speak that (so not to set them back in using the RV),"agree, don't exclude",
cantonese-mandarin bilinguals,maybe,,,I did not exclude 'mandarin' on the basis of the study might be in mandarin and can be replicated by researchers who speak that (so not to set them back in using the RV),"agree, don't exclude",
cantonese-speaking children,maybe,,,Let's exclude on basis of probability of being outside of social neuroscience,don't exclude (issue resoved between coders),
carpal-tunnel-syndrome,maybe,disorder,,exclude,"agree, exclude",yes
child sexual abuse,maybe,disorder,,Let's exclude on basis of probability of being outside of social neuroscience,"agree, exclude (but I think this might well be within the purview of social neuroscience)",yes
child sexual offending,maybe,disorder,,Let's exclude on basis of probability of being outside of social neuroscience,"agree, exclude (but I think this might well be within the purview of social neuroscience)",yes
child sexual-abuse,maybe,disorder,,Let's exclude on basis of probability of being outside of social neuroscience,"agree, exclude (but I think this might well be within the purview of social neuroscience)",yes
chronic back-pain,maybe,disorder,,Let's exclude on basis of probability of being outside of social neuroscience,don't exclude (issue resoved between coders),
chronic low back pain,maybe,disorder,,Let's exclude on basis of probability of being outside of social neuroscience,don't exclude (issue resoved between coders),
chronic pain,maybe,disorder,,Let's exclude on basis of probability of being outside of social neuroscience,don't exclude (issue resoved between coders),
chronic pain couples,maybe,disorder,,Let's exclude on basis of probability of being outside of social neuroscience,don't exclude (issue resoved between coders),
chronic stress,maybe,disorder,,Let's exclude on basis of probability of being outside of social neuroscience,don't exclude (issue resoved between coders),
chronic stroke,maybe,disorder,,Let's exclude on basis of probability of being outside of social neuroscience,"agree, exclude",yes
chronic subcortical stroke,maybe,disorder,,Let's exclude on basis of probability of being outside of social neuroscience,"agree, exclude",yes
chronic traumatic encephalopathy,maybe,disorder,,Let's exclude on basis of probability of being outside of social neuroscience,"agree, exclude",yes
chronic-fatigue,maybe,disorder,,Let's exclude on basis of probability of being outside of social neuroscience,"agree, exclude",yes
cocaine dependence,maybe,,"signals disorder, but may be used in studies on healthy subjects","Let's leave in on basis of not knowing from one keyword whether measured in 'normal' sample, could be of interest for how their brain is different (and if we leave addiction in, then we are consistent)","agree, don't exclude",
cognitive impairment,maybe,disorder,,"Let's leave in, might be mild impairments?","agree, don't exclude",
combined fmri,maybe,method,,exclude,"agree, exclude",yes
comorbidity survey replication,maybe,disorder,,exclude,"agree, exclude",yes
conduction aphasia,maybe,method,,"exclude, rare, and outside social neuro","agree, exclude",yes
deaf,maybe,disorder,,"we have to be consistent, but I'm personally interested so biased towards leaving in",don't exclude,
deaf native signers,maybe,disorder,,"we have to be consistent, but I'm personally interested so biased towards leaving in",don't exclude (issue resoved between coders),
deaf parents,maybe,disorder,,"we have to be consistent, but I'm personally interested so biased towards leaving in",don't exclude (issue resoved between coders),
deaf signer,maybe,disorder,,"we have to be consistent, but I'm personally interested so biased towards leaving in",don't exclude (issue resoved between coders),
deaf signers,maybe,disorder,,"we have to be consistent, but I'm personally interested so biased towards leaving in",don't exclude (issue resoved between coders),
deaf subjects,maybe,disorder,,"we have to be consistent, but I'm personally interested so biased towards leaving in",don't exclude (issue resoved between coders),
deaf-children,maybe,disorder,,"we have to be consistent, but I'm personally interested so biased towards leaving in",don't exclude (issue resoved between coders),
deafferentation,maybe,disorder,,exclude (if not nonhuman then method),"agree, exclude",yes
deafness,maybe,disorder,,"we have to be consistent, but I'm personally interested so biased towards leaving in",don't exclude (issue resoved between coders),
dementia risk,maybe,disorder,,"leave in, not clinical enough to exclude?","agree, don't exclude",
dependent individuals,maybe,disorder,,leave in,"agree, don't exclude",
dependent subjects,maybe,disorder,,leave in,"agree, don't exclude",
diagnosis,maybe,disorder,,Let's exclude on basis of probability of being outside of social neuroscience,don't exclude (issue resoved between coders),
diagnosis threat,maybe,disorder,,Let's exclude on basis of probability of being outside of social neuroscience,don't exclude (issue resoved between coders),
diagnostic subgroups,maybe,disorder,,"leave in, could be a method to find subgroups in data",,
diagnostic testing,maybe,disorder,,Let's exclude on basis of probability of being outside of social neuroscience,don't exclude (issue resoved between coders),
diagnostic-criteria,maybe,disorder,,Let's exclude on basis of probability of being outside of social neuroscience,don't exclude (issue resoved between coders),
drug addiction,maybe,disorder,"signals disorder, but is also used in studies on healthy subjects",Let's leave in on basis of not knowing from one keyword whether measured in 'normal' sample,"agree, don't exclude",
drug dependence,maybe,disorder,"signals disorder, but is also used in studies on healthy subjects",Let's leave in on basis of not knowing from one keyword whether measured in 'normal' sample,"agree, don't exclude",
drug-abuse,maybe,disorder,"signals disorder, but is also used in studies on healthy subjects",Let's leave in on basis of not knowing from one keyword whether measured in 'normal' sample,"agree, don't exclude",
evoked-responses,maybe,method,,leave in,"agree, don't exclude",
forearm anesthesia,maybe,other,invasive,Let's exclude on basis of probability of being outside of social neuroscience,"agree, exclude",yes
gamma-band oscillations,maybe,method,eeg?,meg? exclude,,yes
gamma-band oscillations,maybe,method,eeg?,meg? exclude,,yes
gamma-band oscillations,maybe,method,eeg?,meg? exclude,,yes
gamma-band oscillations,maybe,method,eeg?,meg? exclude,,yes
gamma-band oscillations,maybe,method,eeg?,meg? exclude,,yes
graph-theory and neurodegenerative diseases,maybe,disorder,,exclude,,yes
grapheme-color,maybe,disorder,,"exclude, rare",,yes
healthy weight children,maybe,other,"Several terms include ""child"", but it feels like too wide a group to exclude completely",Let's exclude on basis of probability of being outside of social neuroscience,don't exclude (issue resoved between coders),
heavy drinkers,maybe,disorder,do not necessarily think this refers to clinically diagnosable alcohol abouse,leave in,"agree, don't exclude",
heavy drinking,maybe,disorder,do not necessarily think this refers to clinically diagnosable alcohol abouse,leave in,"agree, don't exclude",
heavy-drinking,maybe,disorder,do not necessarily think this refers to clinically diagnosable alcohol abouse,leave in,"agree, don't exclude",
hypersensitivity,maybe,disorder,,leave in,"agree, don't exclude",
hypersensitivity-to-interference,maybe,disorder,,leave in,"agree, don't exclude",
induced blindness,maybe,disorder,,leave in,"agree, don't exclude",
inexperienced chicks,maybe,non-human,This is a reference to chickens... right?,"exclude, nonhuman","agree, exclude",yes
infancy,maybe,other,"unfeasible participant population, unless infant behavior used as stimulus",Let's exclude on basis of probability of being outside of social neuroscience,,yes
infant,maybe,other,"unfeasible participant population, unless infant behavior used as stimulus",Let's exclude on basis of probability of being outside of social neuroscience,,yes
infant brain,maybe,other,unfeasible participant population,Let's exclude on basis of probability of being outside of social neuroscience,,yes
infant cry,maybe,other,"unfeasible participant population, unless infant behavior used as stimulus",leave in (cry sounds are frequently used as stimuli to investigate adult perception),,
infant crying and parenting,maybe,other,"unfeasible participant population, unless infant behavior used as stimulus",leave in (cry sounds are frequently used as stimuli to investigate adult perception),,
infant facial cues,maybe,other,"unfeasible participant population, unless infant behavior used as stimulus",leave in (baby face study? are frequently used as stimuli to investigate adult perception),,
infant mental-health,maybe,other,unfeasible participant population,Let's exclude on basis of probability of being outside of social neuroscience,,yes
infant preferences,maybe,other,unfeasible participant population,Let's exclude on basis of probability of being outside of social neuroscience,,yes
infant synchrony,maybe,other,"unfeasible participant population, unless infant behavior used as stimulus","Leave in (adult could be watching video of adult with infant in synch, I have read such papers)",,
infant tears,maybe,other,"unfeasible participant population, unless infant behavior used as stimulus","leave in, could be pictures of infant to study adult reaction",,
infants,maybe,other,"unfeasible participant population, unless infant behavior used as stimulus",let's exclude on basis of probability of being outside of social neuroscience,,yes
insomnia,maybe,disorder,,exclude,,yes
intellectual disabilities,maybe,disorder,,exclude,,yes
international tomography center,maybe,method,,exclude,,yes
maltreated children,maybe,,?,leave in,"I think this is a tricky edge case, but I would vote not to exclude. At least, I decided not to flag terms like ""intimate partner violence""",
mammal sounds,maybe,,?,exclude,"I vote exclude. Rationale is the same as for excluding ""primate"" terms, under which humans also technically classify.",yes
mammalian odorant receptors,maybe,,?,exclude,"I vote exclude. Rationale is the same as for excluding ""primate"" terms, under which humans also technically classify.",yes
mammalian vocalization,maybe,,?,exclude,"I vote exclude. Rationale is the same as for excluding ""primate"" terms, under which humans also technically classify.",yes
mild brain stimulation,maybe,,,exclude,exclude,yes
mri contrast agents,maybe,,,exclude,exclude,yes
parkinson's disease,maybe,,could be study without a specific sample,exclude,exclude,yes
parkinsons-disease,maybe,,could be study without a specific sample,exclude,exclude,yes
pet,maybe,method,,exclude,"exclude (although I see the homonym. Let's just say, I excluded ""cat"")",yes
pet analysis,maybe,method,,exclude,"exclude (although I see the homonym. Let's just say, I excluded ""cat"")",yes
pet data,maybe,method,,exclude,"exclude (although I see the homonym. Let's just say, I excluded ""cat"")",yes
poststroke aphasia,maybe,,,exclude,exclude,yes
poststroke hemiparesis,maybe,,,exclude,exclude,yes
postsurgical memory,maybe,,,exclude,exclude,yes
premature-infants,maybe,,,exclude,exclude,yes
prematurity,maybe,,,exclude,exclude,yes
ptsd,maybe,,,exclude,exclude,yes
ringing in the ears,maybe,,,don't exclude,don't exclude,
romanian adoptees,maybe,,,exclude,exclude (but be aware: I did not flag rare non-patient populations in my section!),yes
rrid: scr_001622,maybe,,,let's exclude on basis of probability of being outside of social neuroscience,what is this?,yes
rrid: scr_005619,maybe,,,let's exclude on basis of probability of being outside of social neuroscience,what is this?,yes
