UT,AU,TI,PY,DI,study_number,TC_2020,sample_size,RV_dist_location,RV,AB,SO
WOS:000265095500017,"den Ouden, HEM; Friston, KJ; Daw, ND; McIntosh, AR; Stephan, KE",A Dual Role for Prediction Error in Associative Learning,2009,10.1093/cercor/bhn161,1,190,14,top,1.130952381,"Confronted with a rich sensory environment, the brain must learn statistical regularities across sensory domains to construct causal models of the world. Here, we used functional magnetic resonance imaging and dynamic causal modeling (DCM) to furnish neurophysiological evidence that statistical associations are learnt, even when task-irrelevant. Subjects performed an audio-visual target-detection task while being exposed to distractor stimuli. Unknown to them, auditory distractors predicted the presence or absence of subsequent visual distractors. We modeled incidental learning of these associations using a Rescorla-Wagner (RW) model. Activity in primary visual cortex and putamen reflected learning-dependent surprise: these areas responded progressively more to unpredicted, and progressively less to predicted visual stimuli. Critically, this prediction-error response was observed even when the absence of a visual stimulus was surprising. We investigated the underlying mechanism by embedding the RW model into a DCM to show that auditory to visual connectivity changed significantly over time as a function of prediction error. Thus, consistent with predictive coding models of perception, associative learning is mediated by prediction-error dependent changes in connectivity. These results posit a dual role for prediction-error in encoding surprise and driving associative plasticity.",CEREBRAL CORTEX
WOS:000338110900007,"Vigliocco, G; Kousta, ST; Della Rosa, PA; Vinson, DP; Tettamanti, M; Devlin, JT; Cappa, SF",The Neural Representation of Abstract Words: The Role of Emotion,2014,10.1093/cercor/bht025,1,157,20,top,1.121428571,"It is generally assumed that abstract concepts are linguistically coded, in line with imaging evidence of greater engagement of the left perisylvian language network for abstract than concrete words (Binder JR, Desai RH, Graves WW, Conant LL. 2009. Where is the semantic system? A critical review and meta-analysis of 120 functional neuroimaging studies. Cerebral Cortex. 19:2767-2796; Wang J, Conder JA, Blitzer DN, Shinkareva SV. 2010. Neural representation of abstract and concrete concepts: A meta-analysis of neuroimaging studies. Hum Brain Map. 31:1459-1468). Recent behavioral work, which used tighter matching of items than previous studies, however, suggests that abstract concepts also entail affective processing to a greater extent than concrete concepts (Kousta S-T, Vigliocco G, Vinson DP, Andrews M, Del Campo E. The representation of abstract words: Why emotion matters. J Exp Psychol Gen. 140:14-34). Here we report a functional magnetic resonance imaging experiment that shows greater engagement of the rostral anterior cingulate cortex, an area associated with emotion processing (e.g., Etkin A, Egner T, Peraza DM, Kandel ER, Hirsch J. 2006. Resolving emotional conflict: A role for the rostral anterior cingulate cortex in modulating activity in the amygdala. Neuron. 52:871), in abstract processing. For abstract words, activation in this area was modulated by the hedonic valence (degree of positive or negative affective association) of our items. A correlation analysis of more than 1,400 English words further showed that abstract words, in general, receive higher ratings for affective associations (both valence and arousal) than concrete words, supporting the view that engagement of emotional processing is generally required for processing abstract words. We argue that these results support embodiment views of semantic representation, according to which, whereas concrete concepts are grounded in our sensory-motor experience, affective experience is crucial in the grounding of abstract concepts.",CEREBRAL CORTEX
WOS:000325080900002,"Bassett, DS; Wymbs, NF; Rombach, MP; Porter, MA; Mucha, PJ; Grafton, ST",Task-Based Core-Periphery Organization of Human Brain Dynamics,2013,10.1371/journal.pcbi.1003171,1,178,20,top,1.1125,"As a person learns a new skill, distinct synapses, brain regions, and circuits are engaged and change over time. In this paper, we develop methods to examine patterns of correlated activity across a large set of brain regions. Our goal is to identify properties that enable robust learning of a motor skill. We measure brain activity during motor sequencing and characterize network properties based on coherent activity between brain regions. Using recently developed algorithms to detect time-evolving communities, we find that the complex reconfiguration patterns of the brain's putative functional modules that control learning can be described parsimoniously by the combined presence of a relatively stiff temporal core that is composed primarily of sensorimotor and visual regions whose connectivity changes little in time and a flexible temporal periphery that is composed primarily of multimodal association regions whose connectivity changes frequently. The separation between temporal core and periphery changes over the course of training and, importantly, is a good predictor of individual differences in learning success. The core of dynamically stiff regions exhibits dense connectivity, which is consistent with notions of core-periphery organization established previously in social networks. Our results demonstrate that core-periphery organization provides an insightful way to understand how putative functional modules are linked. This, in turn, enables the prediction of fundamental human capacities, including the production of complex goal-directed behavior.",PLOS COMPUTATIONAL BIOLOGY
WOS:000377917500044,"Guntupalli, JS; Hanke, M; Halchenko, YO; Connolly, AC; Ramadge, PJ; Haxby, JV",A Model of Representational Spaces in Human Cortex,2016,10.1093/cercor/bhw068,2,54,10,top,1.08,"Current models of the functional architecture of human cortex emphasize areas that capture coarse-scale features of cortical topography but provide no account for population responses that encode information in fine-scale patterns of activity. Here, we present a linear model of shared representational spaces in human cortex that captures fine-scale distinctions among population responses with response-tuning basis functions that are common across brains and models cortical patterns of neural responses with individual-specific topographic basis functions. We derive a common model space for the whole cortex using a new algorithm, searchlight hyperalignment, and complex, dynamic stimuli that provide a broad sampling of visual, auditory, and social percepts. The model aligns representations across brains in occipital, temporal, parietal, and prefrontal cortices, as shown by between-subject multivariate pattern classification and intersubject correlation of representational geometry, indicating that structural principles for shared neural representations apply across widely divergent domains of information. The model provides a rigorous account for individual variability of well-known coarse-scale topographies, such as retinotopy and category selectivity, and goes further to account for fine-scale patterns that are multiplexed with coarse-scale topographies and carry finer distinctions.",CEREBRAL CORTEX
WOS:000294708900003,"Cikara, M; Botvinick, MM; Fiske, ST",Us Versus Them: Social Identity Shapes Neural Responses to Intergroup Competition and Harm,2011,10.1177/0956797610397667,1,180,17,top,1.058823529,"Intergroup competition makes social identity salient, which in turn affects how people respond to competitors' hardships. The failures of an in-group member are painful, whereas those of a rival out-group member may give pleasure-a feeling that may motivate harming rivals. The present study examined whether valuation-related neural responses to rival groups' failures correlate with likelihood of harming individuals associated with those rivals. Avid fans of the Red Sox and Yankees teams viewed baseball plays while undergoing functional magnetic resonance imaging. Subjectively negative outcomes (failure of the favored team or success of the rival team) activated anterior cingulate cortex and insula, whereas positive outcomes (success of the favored team or failure of the rival team, even against a third team) activated ventral striatum. The ventral striatum effect, associated with subjective pleasure, also correlated with self-reported likelihood of aggressing against a fan of the rival team (controlling for general aggression). Outcomes of social group competition can directly affect primary reward-processing neural systems, which has implications for intergroup harm.",PSYCHOLOGICAL SCIENCE
WOS:000266499600005,"Masten, CL; Eisenberger, NI; Borofsky, LA; Pfeifer, JH; McNealy, K; Mazziotta, JC; Dapretto, M",Neural correlates of social exclusion during adolescence: understanding the distress of peer rejection,2009,10.1093/scan/nsp007,1,291,23,top,1.054347826,"Developmental research has demonstrated the harmful effects of peer rejection during adolescence; however, the neural mechanisms responsible for this salience remain unexplored. In this study, 23 adolescents were excluded during a ball-tossing game in which they believed they were playing with two other adolescents during an fMRI scan; in reality, participants played with a preset computer program. Afterwards, participants reported their exclusion-related distress and rejection sensitivity, and parents reported participants' interpersonal competence. Similar to findings in adults, during social exclusion adolescents displayed insular activity that was positively related to self-reported distress, and right ventrolateral prefrontal activity that was negatively related to self-reported distress. Findings unique to adolescents indicated that activity in the subgenual anterior cingulate cortex (subACC) related to greater distress, and that activity in the ventral striatum related to less distress and appeared to play a role in regulating activity in the subACC and other regions involved in emotional distress. Finally, adolescents with higher rejection sensitivity and interpersonal competence scores displayed greater neural evidence of emotional distress, and adolescents with higher interpersonal competence scores also displayed greater neural evidence of regulation, perhaps suggesting that adolescents who are vigilant regarding peer acceptance may be most sensitive to rejection experiences.",SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE
WOS:000316723700019,"McNamee, D; Rangel, A; O'Doherty, JP",Category-dependent and category-independent goal-value codes in human ventromedial prefrontal cortex,2013,10.1038/nn.3337,1,107,13,top,1.028846154,"To choose between manifestly distinct options, it is suggested that the brain assigns values to goals using a common currency. Although previous studies have reported activity in ventromedial prefrontal cortex (vmPFC) correlating with the value of different goal stimuli, it remains unclear whether such goal-value representations are independent of the associated stimulus categorization, as required by a common currency. Using multivoxel pattern analyses on functional magnetic resonance imaging (fMRI) data, we found a region of medial prefrontal cortex to contain a distributed goal-value code that is independent of stimulus category. More ventrally in the vmPFC, we found spatially distinct areas of the medial orbitofrontal cortex to contain unique category-dependent distributed value codes for food and consumer items. These results implicate the medial prefrontal cortex in the implementation of a common currency and suggest a ventral versus dorsal topographical organization of value signals in the vmPFC.",NATURE NEUROSCIENCE
WOS:000434825200001,"Lee, M; Ahn, HS; Kwon, SK; Kim, SI",Cooperative and Competitive Contextual Effects on Social Cognitive and Empathic Neural Responses,2018,10.3389/fnhum.2018.00218,1,3,1,top,1,"We aimed to differentiate the neural responses to cooperative and competitive contexts, which are the two of the most important social contexts in human society. Healthy male college students were asked to complete a Tetris-like task requiring mental rotation skills under individual, cooperative, and competitive contexts in an fMRI scanner. While the participants completed the task, pictures of others experiencing pain evoking emotional empathy randomly appeared to capture contextual effects on empathic neural responses. Behavioral results indicated that, in the presence of cooperation, participants solved the tasks more accurately and quickly than what they did when in the presence of competition. The fMRI results revealed activations in the dorsolateral prefrontal cortex (dIPFC) and dorsomedial prefrontal cortex (dmPFC) related to executive functions and theory of mind when participants performed the task under both cooperative and competitive contexts, whereas no activation of such areas was observed in the individual context. Cooperation condition exhibited stronger neural responses in the ventromedial prefrontal cortex (vmPFC) and dmPFC than competition condition. Competition condition, however, showed marginal neural responses in the cerebellum and anterior insular cortex (AIC). The two social contexts involved stronger empathic neural responses to other's pain than the individual context, but no substantial differences between cooperation and competition were present. Regions of interest analyses revealed that individual's trait empathy modulated the neural activity in the state empathy network, the AIC, and the dorsal anterior cingulate cortex (dACC) depending on the social context. These results suggest that cooperation improves task performance and activates neural responses associated with reward and mentalizing. Furthermore, the interaction between trait- and state-empathy was explored by correlation analyses between individual's trait empathy score and changing empathic brain activations along with the exposure to the cooperative and competitive social contexts.",FRONTIERS IN HUMAN NEUROSCIENCE
WOS:000377917500044,"Guntupalli, JS; Hanke, M; Halchenko, YO; Connolly, AC; Ramadge, PJ; Haxby, JV",A Model of Representational Spaces in Human Cortex,2016,10.1093/cercor/bhw068,1,54,11,top,0.981818182,"Current models of the functional architecture of human cortex emphasize areas that capture coarse-scale features of cortical topography but provide no account for population responses that encode information in fine-scale patterns of activity. Here, we present a linear model of shared representational spaces in human cortex that captures fine-scale distinctions among population responses with response-tuning basis functions that are common across brains and models cortical patterns of neural responses with individual-specific topographic basis functions. We derive a common model space for the whole cortex using a new algorithm, searchlight hyperalignment, and complex, dynamic stimuli that provide a broad sampling of visual, auditory, and social percepts. The model aligns representations across brains in occipital, temporal, parietal, and prefrontal cortices, as shown by between-subject multivariate pattern classification and intersubject correlation of representational geometry, indicating that structural principles for shared neural representations apply across widely divergent domains of information. The model provides a rigorous account for individual variability of well-known coarse-scale topographies, such as retinotopy and category selectivity, and goes further to account for fine-scale patterns that are multiplexed with coarse-scale topographies and carry finer distinctions.",CEREBRAL CORTEX
WOS:000307678800007,"Lischke, A; Gamer, M; Berger, C; Grossmann, A; Hauenstein, K; Heinrichs, M; Herpertz, SC; Domes, G",Oxytocin increases amygdala reactivity to threatening scenes in females,2012,10.1016/j.psyneuen.2012.01.011,1,123,14,top,0.976190476,"The neuropeptide oxytocin (OT) is well known for its profound effects on social behavior, which appear to be mediated by an OT-dependent modulation of amygdala activity in the context of social stimuli. In humans, OT decreases amygdala reactivity to threatening faces in males, but enhances amygdala reactivity to similar faces in females, suggesting sex-specific differences in OT-dependent threat-processing. To further explore whether OT generally enhances amygdala-dependent threat-processing in females, we used functional magnetic resonance imaging (fMRI) in a randomized within-subject crossover design to measure amygdala activity in response to threatening and non-threatening scenes in 14 females following intranasal administration of OT or placebo. Participants' eye movements were recorded to investigate whether an OT-dependent modulation of amygdala activity is accompanied by enhanced exploration of salient scene features. Although OT had no effect on participants' gazing behavior, it increased amygdala reactivity to scenes depicting social and non-social threat. In females, OT may, thus, enhance the detection of threatening stimuli in the environment, potentially by interacting with gonadal steroids, such as progesterone and estrogen. (C) 2012 Elsevier Ltd. All rights reserved.",PSYCHONEUROENDOCRINOLOGY
WOS:000296373400052,"Hare, TA; Schultz, W; Camerer, CF; O'Doherty, JP; Rangel, A",Transformation of stimulus value signals into motor commands during simple choice,2011,10.1073/pnas.1109322108,1,181,19,top,0.952631579,"Decision-making can be broken down into several component processes: assigning values to stimuli under consideration, selecting an option by comparing those values, and initiating motor responses to obtain the reward. Although much is known about the neural encoding of stimulus values and motor commands, little is known about the mechanisms through which stimulus values are compared, and the resulting decision is transmitted to motor systems. We investigated this process using human fMRI in a task where choices were indicated using the left or right hand. We found evidence consistent with the hypothesis that value signals are computed in the ventral medial prefrontal cortex, they are passed to regions of dorsomedial prefrontal cortex and intraparietal sulcus, implementing a comparison process, and the output of the comparator regions modulates activity in motor cortex to implement the choice. These results describe the network through which stimulus values are transformed into actions during a simple choice task.",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
WOS:000264854900013,"Schultz, J; Pilz, KS",Natural facial motion enhances cortical responses to faces,2009,10.1007/s00221-009-1721-9,1,113,10,top,0.941666667,"The ability to perceive facial motion is important to successfully interact in social environments. Previously, imaging studies have investigated neural correlates of facial motion primarily using abstract motion stimuli. Here, we studied how the brain processes natural non-rigid facial motion in direct comparison to static stimuli and matched phase-scrambled controls. As predicted from previous studies, dynamic faces elicit higher responses than static faces in lateral temporal areas corresponding to hMT+/V5 and STS. Interestingly, individually defined, static-face-sensitive regions in bilateral fusiform gyrus and left inferior occipital gyrus also respond more to dynamic than static faces. These results suggest integration of form and motion information during the processing of dynamic faces even in ventral temporal and inferior lateral occipital areas. In addition, our results show that dynamic stimuli are a robust tool to localize areas related to the processing of static and dynamic face information.",EXPERIMENTAL BRAIN RESEARCH
WOS:000366463300046,"Deen, B; Koldewyn, K; Kanwisher, N; Saxe, R",Functional Organization of Social Perception and Cognition in the Superior Temporal Sulcus,2015,10.1093/cercor/bhv111,1,110,20,top,0.916666667,"The superior temporal sulcus (STS) is considered a hub for social perception and cognition, including the perception of faces and human motion, as well as understanding others' actions, mental states, and language. However, the functional organization of the STS remains debated: Is this broad region composed of multiple functionally distinct modules, each specialized for a different process, or are STS subregions multifunctional, contributing to multiple processes? Is the STS spatially organized, and if so, what are the dominant features of this organization? We address these questions by measuring STS responses to a range of social and linguistic stimuli in the same set of human participants, using fMRI. We find a number of STS subregions that respond selectively to certain types of social input, organized along a posterior-to-anterior axis. We also identify regions of overlapping response to multiple contrasts, including regions responsive to both language and theory of mind, faces and voices, and faces and biological motion. Thus, the human STS contains both relatively domain-specific areas, and regions that respond to multiple types of social information.",CEREBRAL CORTEX
WOS:000309203500010,"Lee, RF; Dai, W; Jones, J",Decoupled circular-polarized dual-head volume coil pair for studying two interacting human brains with dyadic fMRI,2012,10.1002/mrm.23313,1,16,2,top,0.888888889,"A major function of the human brain is to mediate interactions with other people. Until recently, studying social interactions as they occur within the brain was not possible due to the lack of measurable methods to observe two interacting minds simultaneously. We have developed a novel MRI dual-head volume coil pair that can scan two subjects' brains simultaneously while the subjects are socially interacting in one MRI scanner. The feasibility of using this coil for dyadic functional MRI (fMRI) study has been successfully demonstrated for the first time. Meanwhile, an innovative robust scheme for decoupling two circular-polarized coils (not surface coils) is introduced in theory and validated in practice in the coil technology development. Magn Reson Med, 2012. (c) 2011 Wiley Periodicals, Inc.",MAGNETIC RESONANCE IN MEDICINE
WOS:000298891400002,"Mcrae, K; Gross, JJ; Weber, J; Robertson, ER; Sokol-Hessner, P; Ray, RD; Gabrieli, JDE; Ochsner, KN","The development of emotion regulation: an fMRI study of cognitive reappraisal in children, adolescents and young adults",2012,10.1093/scan/nsr093,1,303,38,top,0.885964912,"The ability to use cognitive reappraisal to regulate emotions is an adaptive skill in adulthood, but little is known about its development. Because reappraisal is thought to be supported by linearly developing prefrontal regions, one prediction is that reappraisal ability develops linearly. However, recent investigations into socio-emotional development suggest that there are non-linear patterns that uniquely affect adolescents. We compared older children (10-13), adolescents (14-17) and young adults (18-22) on a task that distinguishes negative emotional reactivity from reappraisal ability. Behaviorally, we observed no age differences in self-reported emotional reactivity, but linear and quadratic relationships between reappraisal ability and age. Neurally, we observed linear age-related increases in activation in the left ventrolateral prefrontal cortex, previously identified in adult reappraisal. We observed a quadratic pattern of activation with age in regions associated with social cognitive processes like mental state attribution (medial prefrontal cortex, posterior cingulate cortex, anterior temporal cortex). In these regions, we observed relatively lower reactivity-related activation in adolescents, but higher reappraisal-related activation. This suggests that (i) engagement of the cognitive control components of reappraisal increases linearly with age and (ii) adolescents may not normally recruit regions associated with mental state attribution, but (iii) this can be reversed with reappraisal instructions.",SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE
