ut,label,pub_year,doi,p_oa,p_oa_gold,p_oa_bronze,p_oa_hybrid,p_oa_green
000209629000001,WOS:000209629000001,2013,10.3389/fneur.2013.00001,1,1,0,0,1
000209684400007,WOS:000209684400007,2013,10.3389/fpsyg.2012.00592,1,1,0,0,1
000209702500005,WOS:000209702500005,2014,10.1016/j.jadohealth.2013.12.035,1,0,0,1,1
000209843500023,WOS:000209843500023,2014,10.1038/sdata.2014.3,1,1,0,0,1
000209843500045,WOS:000209843500045,2014,10.1038/sdata.2014.49,1,1,0,0,1
000261727800001,WOS:000261727800001,2009,10.1016/j.evolhumbehav.2008.08.006,1,0,0,0,1
000261790900010,WOS:000261790900010,2009,10.1016/j.neulet.2008.10.083,1,0,0,0,1
000261862600022,WOS:000261862600022,2009,10.1038/npp.2008.93,1,0,1,0,0
000261961700017,WOS:000261961700017,2009,10.1111/j.1460-9568.2008.06557.x,1,0,0,0,1
000262108500010,WOS:000262108500010,2009,10.1080/00207450802480077,0,0,0,0,0
000262173300016,WOS:000262173300016,2009,10.1176/appi.ajp.2008.08020212,0,0,0,0,0
000262208800008,WOS:000262208800008,2009,10.1097/wnr.0b013e32831b4486,0,0,0,0,0
000262232000006,WOS:000262232000006,2009,10.1162/jocn.2009.21007,1,0,0,0,1
000262301500012,WOS:000262301500012,2009,10.1016/j.neuroimage.2008.09.062,0,0,0,0,0
000262301500053,WOS:000262301500053,2009,10.1016/j.neuroimage.2008.09.056,0,0,0,0,0
000262301500057,WOS:000262301500057,2009,10.1016/j.neuroimage.2008.09.039,1,0,0,0,1
000262301500058,WOS:000262301500058,2009,10.1016/j.neuroimage.2008.09.033,1,0,0,1,1
000262397000027,WOS:000262397000027,2009,10.1002/hbm.20506,0,0,0,0,0
000262487700007,WOS:000262487700007,2009,10.1111/j.1467-9450.2008.00678.x,0,0,0,0,0
000262518800003,WOS:000262518800003,2009,10.1093/cercor/bhn080,1,0,1,0,1
000262614100033,WOS:000262614100033,2009,10.1016/j.neuropsychologia.2008.07.018,0,0,0,0,0
000262614400014,WOS:000262614400014,2009,10.1016/j.neuron.2008.11.027,0,0,0,0,0
000262647600003,WOS:000262647600003,2009,10.1080/13803390802298064,0,0,0,0,0
000262768200005,WOS:000262768200005,2009,10.1016/j.neures.2008.09.010,0,0,0,0,0
000262796400002,WOS:000262796400002,2009,10.1037/a0014176,1,0,0,0,1
000262796400003,WOS:000262796400003,2009,10.1037/a0013991,1,0,0,0,1
000262796400004,WOS:000262796400004,2009,10.1037/a0014040,1,0,0,0,1
000262796400005,WOS:000262796400005,2009,10.1037/a0013633,1,0,0,0,1
000262796400006,WOS:000262796400006,2009,10.1037/a0014263,1,0,0,0,1
000262796400007,WOS:000262796400007,2009,10.1037/a0014082,1,0,0,0,1
000262796400008,WOS:000262796400008,2009,10.1037/a0013814,1,0,0,0,1
000262796400009,WOS:000262796400009,2009,10.1037/a0013726,1,0,0,0,1
000262796400010,WOS:000262796400010,2009,10.1037/a0013735,1,0,0,0,1
000262796400011,WOS:000262796400011,2009,10.1037/a0013990,1,0,0,0,1
000262796400012,WOS:000262796400012,2009,10.1037/a0013829,1,0,0,0,1
000262796400013,WOS:000262796400013,2009,10.1037/a0013734,1,0,0,0,1
000262796400014,WOS:000262796400014,2009,10.1037/a0013805,1,0,0,0,1
000262796400015,WOS:000262796400015,2009,10.1037/a0014015,1,0,0,0,1
000262796400016,WOS:000262796400016,2009,10.1037/a0013727,0,0,0,0,0
000262796400017,WOS:000262796400017,2009,10.1037/a0013736,0,0,0,0,0
000262796400018,WOS:000262796400018,2009,10.1037/a0014049,0,0,0,0,0
000262796400019,WOS:000262796400019,2009,10.1037/a0013607,0,0,0,0,0
000262796400020,WOS:000262796400020,2009,10.1037/a0013801,0,0,0,0,0
000262796400021,WOS:000262796400021,2009,10.1037/a0014308,1,0,0,0,1
000262796400022,WOS:000262796400022,2009,10.1037/a0014122,1,0,0,0,1
000262796400023,WOS:000262796400023,2009,10.1037/a0014260,1,0,0,0,1
000262796400024,WOS:000262796400024,2009,10.1037/a0014157,0,0,0,0,0
000262819800006,WOS:000262819800006,2009,10.4088/jcp.08m04143,0,0,0,0,0
000262824700005,WOS:000262824700005,2009,10.1111/j.1600-0447.2008.01297.x,0,0,0,0,0
000262859000025,WOS:000262859000025,2009,10.1523/jneurosci.5324-08.2009,1,0,1,0,1
000262909700008,WOS:000262909700008,2009,10.1162/jocn.2009.21044,1,0,0,0,1
000263139100003,WOS:000263139100003,2009,10.1007/s12124-008-9066-7,0,0,0,0,0
000263162600004,WOS:000263162600004,2009,10.1093/cercor/bhn104,1,0,1,0,1
000263162600012,WOS:000263162600012,2009,10.1093/cercor/bhn110,1,0,1,0,1
000263189900012,WOS:000263189900012,2009,10.1002/ar.20829,0,0,0,0,0
000263232800003,WOS:000263232800003,2009,10.1002/hbm.20510,0,0,0,0,0
000263232800008,WOS:000263232800008,2009,10.1002/hbm.20514,0,0,0,0,0
000263232800023,WOS:000263232800023,2009,10.1002/hbm.20531,1,0,0,0,1
000263295400043,WOS:000263295400043,2009,10.1126/science.1165604,0,0,0,0,0
000263301200007,WOS:000263301200007,2009,10.1523/jneurosci.4578-08.2009,1,0,1,0,1
000263335200004,WOS:000263335200004,2009,10.1097/nmd.0b013e3181923f82,0,0,0,0,0
000263347600007,WOS:000263347600007,2009,10.1016/j.neuron.2008.11.023,0,0,0,0,0
000263405900019,WOS:000263405900019,2009,10.1016/j.neulet.2008.12.011,0,0,0,0,0
000263505000007,WOS:000263505000007,2009,10.1007/s00406-008-0833-8,0,0,0,0,0
000263558900027,WOS:000263558900027,2009,10.1523/jneurosci.5296-08.2009,1,0,1,0,1
000263581900006,WOS:000263581900006,2009,10.1016/j.bandc.2008.08.007,1,0,0,0,1
000263706800001,WOS:000263706800001,2009,10.1080/17470910701676236,1,0,0,0,1
000263706800001,WOS:000263706800001,2009,10.1080/17470910701676236,1,0,0,0,1
000263706800002,WOS:000263706800002,2009,10.1080/17470910801925350,1,0,0,0,1
000263706800003,WOS:000263706800003,2009,10.1080/17470910801936803,0,0,0,0,0
000263706800004,WOS:000263706800004,2009,10.1080/17470910801938023,0,0,0,0,0
000263706800005,WOS:000263706800005,2009,10.1080/17470910801942876,1,0,0,0,1
000263706800006,WOS:000263706800006,2009,10.1080/17470910802045042,0,0,0,0,0
000263706800007,WOS:000263706800007,2009,10.1080/17470910802046230,0,0,0,0,0
000263706800008,WOS:000263706800008,2009,10.1080/17470910802083167,0,0,0,0,0
000263738300003,WOS:000263738300003,2009,10.1016/j.bandl.2008.07.002,0,0,0,0,0
000263815300007,WOS:000263815300007,2009,10.1016/j.neuropsychologia.2008.09.023,0,0,0,0,0
000263833600010,WOS:000263833600010,2009,10.1007/s00221-008-1661-9,0,0,0,0,0
000263945100004,WOS:000263945100004,2009,10.1093/cercor/bhn126,1,0,1,0,1
000263945100005,WOS:000263945100005,2009,10.1093/cercor/bhn127,1,0,1,0,1
000264015900028,WOS:000264015900028,2009,10.1002/hbm.20565,1,0,0,0,1
000264023100014,WOS:000264023100014,2009,10.1162/jocn.2009.21033,0,0,0,0,0
000264034100001,WOS:000264034100001,2009,10.1037/a0014430,1,0,0,0,1
000264040600001,WOS:000264040600001,2009,10.1080/17470910701865367,0,0,0,0,0
000264040600001,WOS:000264040600001,2009,10.1080/17470910701865367,0,0,0,0,0
000264040600002,WOS:000264040600002,2009,10.1080/17470910802176326,1,0,0,0,1
000264040600002,WOS:000264040600002,2009,10.1080/17470910802176326,1,0,0,0,1
000264040600003,WOS:000264040600003,2009,10.1080/17470910802198510,1,0,0,0,1
000264040600003,WOS:000264040600003,2009,10.1080/17470910802198510,1,0,0,0,1
000264040600004,WOS:000264040600004,2009,10.1080/17470910802337902,0,0,0,0,0
000264040600005,WOS:000264040600005,2009,10.1080/17470910802253836,0,0,0,0,0
000264040600006,WOS:000264040600006,2009,10.1080/17470910802453105,1,0,0,0,1
000264040600006,WOS:000264040600006,2009,10.1080/17470910802453105,1,0,0,0,1
000264044300007,WOS:000264044300007,2009,10.1016/j.biopsycho.2008.09.004,1,0,0,0,1
000264044300014,WOS:000264044300014,2009,10.1016/j.biopsycho.2008.10.005,0,0,0,0,0
000264065500021,WOS:000264065500021,2009,10.1111/j.1460-9568.2009.06674.x,1,0,0,0,1
000264237300027,WOS:000264237300027,2009,10.1016/j.neuropsychologia.2008.12.027,0,0,0,0,0
000264359700010,WOS:000264359700010,2009,10.1162/jocn.2009.21051,0,0,0,0,0
000264359700015,WOS:000264359700015,2009,10.1162/jocn.2009.21059,1,0,0,0,1
000264378400033,WOS:000264378400033,2009,10.1016/j.neuroimage.2008.12.052,0,0,0,0,0
000264378500018,WOS:000264378500018,2009,10.1016/j.neuroimage.2009.01.016,1,0,0,0,1
000264387100007,WOS:000264387100007,2009,10.1192/bjp.bp.108.053199,1,0,1,0,1
000264398000001,WOS:000264398000001,2009,10.1093/scan/nsn035,1,0,0,1,1
000264398000002,WOS:000264398000002,2009,10.1093/scan/nsn028,1,0,0,1,1
000264398000002,WOS:000264398000002,2009,10.1093/scan/nsn028,1,0,0,1,1
000264398000003,WOS:000264398000003,2009,10.1093/scan/nsn034,1,0,0,1,1
000264398000005,WOS:000264398000005,2009,10.1093/scan/nsn036,1,0,0,1,1
000264398000005,WOS:000264398000005,2009,10.1093/scan/nsn036,1,0,0,1,1
000264398000006,WOS:000264398000006,2009,10.1093/scan/nsn037,1,0,0,1,1
000264398000006,WOS:000264398000006,2009,10.1093/scan/nsn037,1,0,0,1,1
000264398000007,WOS:000264398000007,2009,10.1093/scan/nsn038,1,0,0,1,1
000264398000007,WOS:000264398000007,2009,10.1093/scan/nsn038,1,0,0,1,1
000264398000008,WOS:000264398000008,2009,10.1093/scan/nsn039,1,0,0,1,1
000264398000009,WOS:000264398000009,2009,10.1093/scan/nsn042,1,0,0,1,1
000264398000009,WOS:000264398000009,2009,10.1093/scan/nsn042,1,0,0,1,1
000264398000010,WOS:000264398000010,2009,10.1093/scan/nsn041,1,0,0,1,1
000264398000011,WOS:000264398000011,2009,10.1093/scan/nsn044,1,0,0,1,1
000264398000011,WOS:000264398000011,2009,10.1093/scan/nsn044,1,0,0,1,1
000264448300012,WOS:000264448300012,2009,10.1167/9.1.12,1,1,0,0,1
000264563200006,WOS:000264563200006,2009,10.1111/j.1530-0277.2008.00876.x,1,0,0,0,1
000264565800001,WOS:000264565800001,2009,10.1037/a0014723,1,0,0,0,1
000264565800002,WOS:000264565800002,2009,10.1037/a0014625,1,0,0,0,1
000264565800003,WOS:000264565800003,2009,10.1037/a0014816,1,0,0,0,1
000264565800004,WOS:000264565800004,2009,10.1037/a0014366,1,0,0,0,1
000264565800005,WOS:000264565800005,2009,10.1037/a0014594,1,0,0,0,1
000264565800006,WOS:000264565800006,2009,10.1037/a0014722,1,0,0,0,1
000264565800007,WOS:000264565800007,2009,10.1037/a0014817,1,0,0,0,1
000264565800008,WOS:000264565800008,2009,10.1037/a0014483,1,0,0,0,1
000264565800009,WOS:000264565800009,2009,10.1037/a0014988,1,0,0,0,1
000264565800010,WOS:000264565800010,2009,10.1037/a0014364,0,0,0,0,0
000264565800011,WOS:000264565800011,2009,10.1037/a0014593,1,0,0,0,1
000264565800012,WOS:000264565800012,2009,10.1037/a0014730,0,0,0,0,0
000264565800013,WOS:000264565800013,2009,10.1037/a0015034,0,0,0,0,0
000264565800014,WOS:000264565800014,2009,10.1037/a0014987,0,0,0,0,0
000264565800015,WOS:000264565800015,2009,10.1037/a0014121,0,0,0,0,0
000264565800017,WOS:000264565800017,2009,10.1037/a0015033,1,0,0,0,1
000264565800018,WOS:000264565800018,2009,10.1037/a0014595,1,0,0,0,1
000264565800019,WOS:000264565800019,2009,10.1037/a0014477,0,0,0,0,0
000264565800020,WOS:000264565800020,2009,10.1037/a0014729,1,0,0,0,1
000264565800021,WOS:000264565800021,2009,10.1037/a0014724,0,0,0,0,0
000264565800022,WOS:000264565800022,2009,10.1037/a0014818,0,0,0,0,0
000264565800023,WOS:000264565800023,2009,10.1037/a0014478,0,0,0,0,0
000264565800024,WOS:000264565800024,2009,10.1037/a0014479,1,0,0,0,1
000264565800026,WOS:000264565800026,2009,10.1037/a0015381,1,0,0,0,1
000264613200003,WOS:000264613200003,2009,10.1016/j.jpsychires.2008.10.012,0,0,0,0,0
000264647700007,WOS:000264647700007,2009,10.1017/s1461145708009395,1,0,0,1,1
000264696300019,WOS:000264696300019,2009,10.1002/hbm.20591,1,0,0,0,1
000264696300025,WOS:000264696300025,2009,10.1002/hbm.20604,0,0,0,0,0
000264790600015,WOS:000264790600015,2009,10.1073/pnas.0901490106,1,0,1,0,1
000264854900013,WOS:000264854900013,2009,10.1007/s00221-009-1721-9,1,0,1,0,1
000264889000006,WOS:000264889000006,2009,10.1093/brain/awn343,1,0,1,0,1
000264949500005,WOS:000264949500005,2009,10.1177/0162243908328756,0,0,0,0,0
000264967500099,WOS:000264967500099,2009,10.1073/pnas.0811681106,1,0,1,0,1
000265059600001,WOS:000265059600001,2009,10.1186/1471-2202-10-9,1,1,0,0,1
000265077200023,WOS:000265077200023,2009,10.1016/j.concog.2008.05.002,1,0,0,0,1
000265095500017,WOS:000265095500017,2009,10.1093/cercor/bhn161,1,0,0,1,1
000265186500020,WOS:000265186500020,2009,10.1111/j.1460-9568.2009.06730.x,0,0,0,0,0
000265275500002,WOS:000265275500002,2009,10.1016/j.neulet.2009.03.026,0,0,0,0,0
000265413100012,WOS:000265413100012,2009,10.1162/jocn.2009.21082,0,0,0,0,0
000265484000001,WOS:000265484000001,2009,10.1371/journal.pone.0004360,1,1,0,0,1
000265487500019,WOS:000265487500019,2009,10.1371/journal.pone.0004618,1,1,0,0,1
000265496500004,WOS:000265496500004,2009,10.1371/journal.pone.0004867,1,1,0,0,1
000265723800034,WOS:000265723800034,2009,10.1016/j.neuroimage.2009.01.043,1,0,0,0,1
000265727600002,WOS:000265727600002,2009,10.1002/hbm.20611,0,0,0,0,0
000265827700005,WOS:000265827700005,2009,10.1111/j.1749-6632.2009.04418.x,0,0,0,0,0
000265895400001,WOS:000265895400001,2009,10.1080/17470910802250519,1,0,0,0,1
000265895400001,WOS:000265895400001,2009,10.1080/17470910802250519,1,0,0,0,1
000265895400002,WOS:000265895400002,2009,10.1080/17470910802362546,0,0,0,0,0
000265895400003,WOS:000265895400003,2009,10.1080/17470910802553508,1,0,1,0,1
000265895400003,WOS:000265895400003,2009,10.1080/17470910802553508,1,0,1,0,1
000265895400004,WOS:000265895400004,2009,10.1080/17470910802553565,0,0,0,0,0
000265895400004,WOS:000265895400004,2009,10.1080/17470910802553565,0,0,0,0,0
000265895400005,WOS:000265895400005,2009,10.1080/17470910802625009,0,0,0,0,0
000265895400006,WOS:000265895400006,2009,10.1080/17470910802625215,0,0,0,0,0
000265953900006,WOS:000265953900006,2009,10.1016/j.psyneuen.2008.11.007,0,0,0,0,0
000265972100001,WOS:000265972100001,2009,10.1016/j.encep.2008.01.005,0,0,0,0,0
000266027300003,WOS:000266027300003,2009,10.1111/j.1469-7610.2008.02022.x,0,0,0,0,0
000266031300006,WOS:000266031300006,2009,10.1111/j.1745-6924.2009.01125.x,1,0,0,0,1
000266031300009,WOS:000266031300009,2009,10.1111/j.1745-6924.2009.01128.x,1,0,0,0,1
000266031300010,WOS:000266031300010,2009,10.1111/j.1745-6924.2009.01129.x,0,0,0,0,0
000266065700017,WOS:000266065700017,2009,10.1016/j.jesp.2009.01.002,0,0,0,0,0
000266177600006,WOS:000266177600006,2009,10.1016/j.jpsychires.2008.10.013,0,0,0,0,0
000266208900062,WOS:000266208900062,2009,10.1073/pnas.0810363106,1,0,1,0,1
000266227400009,WOS:000266227400009,2009,10.1016/j.bandl.2008.03.005,1,0,0,0,1
000266231800019,WOS:000266231800019,2009,10.1016/j.bbr.2009.02.009,0,0,0,0,0
000266282800011,WOS:000266282800011,2009,10.1016/j.nlm.2009.03.003,0,0,0,0,0
000266307600003,WOS:000266307600003,2009,10.1037/a0015574,1,0,0,0,1
000266360400010,WOS:000266360400010,2009,10.1016/j.neulet.2009.03.094,0,0,0,0,0
000266360400011,WOS:000266360400011,2009,10.1016/j.neulet.2009.03.090,0,0,0,0,0
000266458900001,WOS:000266458900001,2009,10.1037/a0015060,1,0,0,0,1
000266458900002,WOS:000266458900002,2009,10.1037/a0015065,0,0,0,0,0
000266458900003,WOS:000266458900003,2009,10.1037/a0015477,1,0,0,0,1
000266458900004,WOS:000266458900004,2009,10.1037/a0015404,1,0,0,0,1
000266458900005,WOS:000266458900005,2009,10.1037/a0015672,0,0,0,0,0
000266458900006,WOS:000266458900006,2009,10.1037/a0015119,0,0,0,0,0
000266458900007,WOS:000266458900007,2009,10.1037/a0015063,0,0,0,0,0
000266458900008,WOS:000266458900008,2009,10.1037/a0015267,1,0,0,0,1
000266458900009,WOS:000266458900009,2009,10.1037/a0015625,1,0,0,0,1
000266458900010,WOS:000266458900010,2009,10.1037/a0015345,1,0,0,0,1
000266458900011,WOS:000266458900011,2009,10.1037/a0015752,1,0,0,0,1
000266458900012,WOS:000266458900012,2009,10.1037/a0015573,0,0,0,0,0
000266458900013,WOS:000266458900013,2009,10.1037/a0015333,0,0,0,0,0
000266458900014,WOS:000266458900014,2009,10.1037/a0015632,0,0,0,0,0
000266458900015,WOS:000266458900015,2009,10.1037/a0015064,1,0,0,0,1
000266458900016,WOS:000266458900016,2009,10.1037/a0015243,0,0,0,0,0
000266458900017,WOS:000266458900017,2009,10.1037/a0015455,0,0,0,0,0
000266458900018,WOS:000266458900018,2009,10.1037/a0015334,1,0,0,0,1
000266458900019,WOS:000266458900019,2009,10.1037/a0015237,0,0,0,0,0
000266458900020,WOS:000266458900020,2009,10.1037/a0015567,1,0,0,0,1
000266458900021,WOS:000266458900021,2009,10.1037/a0015662,1,0,0,0,1
000266458900022,WOS:000266458900022,2009,10.1037/a0015242,0,0,0,0,0
000266458900023,WOS:000266458900023,2009,10.1037/a0015593,0,0,0,0,0
000266458900024,WOS:000266458900024,2009,10.1037/a0015396,0,0,0,0,0
000266458900025,WOS:000266458900025,2009,10.1037/a0015733,1,0,0,0,1
000266458900026,WOS:000266458900026,2009,10.1037/a0015239,0,0,0,0,0
000266499600001,WOS:000266499600001,2009,10.1093/scan/nsn043,1,0,0,1,1
000266499600001,WOS:000266499600001,2009,10.1093/scan/nsn043,1,0,0,1,1
000266499600002,WOS:000266499600002,2009,10.1093/scan/nsn049,1,0,0,1,1
000266499600002,WOS:000266499600002,2009,10.1093/scan/nsn049,1,0,0,1,1
000266499600003,WOS:000266499600003,2009,10.1093/scan/nsn048,1,0,0,1,1
000266499600003,WOS:000266499600003,2009,10.1093/scan/nsn048,1,0,0,1,1
000266499600004,WOS:000266499600004,2009,10.1093/scan/nsn046,1,0,0,1,1
000266499600005,WOS:000266499600005,2009,10.1093/scan/nsp007,1,0,0,1,1
000266499600005,WOS:000266499600005,2009,10.1093/scan/nsp007,1,0,0,1,1
000266499600006,WOS:000266499600006,2009,10.1093/scan/nsn051,1,0,0,1,1
000266499600006,WOS:000266499600006,2009,10.1093/scan/nsn051,1,0,0,1,1
000266499600007,WOS:000266499600007,2009,10.1093/scan/nsn047,1,0,0,1,1
000266499600007,WOS:000266499600007,2009,10.1093/scan/nsn047,1,0,0,1,1
000266499600008,WOS:000266499600008,2009,10.1093/scan/nsp003,1,0,0,1,1
000266499600009,WOS:000266499600009,2009,10.1093/scan/nsp004,1,0,0,1,1
000266499600010,WOS:000266499600010,2009,10.1093/scan/nsn050,1,0,0,1,1
000266499600010,WOS:000266499600010,2009,10.1093/scan/nsn050,1,0,0,1,1
000266499600010,WOS:000266499600010,2009,10.1093/scan/nsn050,1,0,0,1,1
000266499600011,WOS:000266499600011,2009,10.1093/scan/nsp011,1,0,0,1,1
000266499600011,WOS:000266499600011,2009,10.1093/scan/nsp011,1,0,0,1,1
000266580500061,WOS:000266580500061,2009,10.1073/pnas.0811620106,1,0,1,0,1
000266580700015,WOS:000266580700015,2009,10.1037/a0015181,1,0,0,0,1
000266580800002,WOS:000266580800002,2009,10.1016/j.pscychresns.2008.07.005,0,0,0,0,0
000266580800003,WOS:000266580800003,2009,10.1016/j.pscychresns.2008.07.009,0,0,0,0,0
000266580800004,WOS:000266580800004,2009,10.1016/j.pscychresns.2008.07.010,1,0,0,0,1
000266597000014,WOS:000266597000014,2009,10.1111/j.1460-9568.2009.06796.x,1,0,0,0,1
000266619800011,WOS:000266619800011,2009,10.1016/j.neurobiolaging.2007.10.008,0,0,0,0,0
000266701600005,WOS:000266701600005,2009,10.1016/j.neuropsychologia.2009.02.021,0,0,0,0,0
000266817500013,WOS:000266817500013,2009,10.1073/pnas.0807721106,1,0,1,0,1
000266927400006,WOS:000266927400006,2009,10.1007/s00426-009-0233-3,1,0,0,1,1
000266927400008,WOS:000266927400008,2009,10.1007/s00426-009-0235-1,0,0,0,0,0
000266927400013,WOS:000266927400013,2009,10.1007/s00426-009-0240-4,1,0,0,1,1
000266975300039,WOS:000266975300039,2009,10.1016/j.neuroimage.2009.04.038,1,0,0,0,1
000266975300046,WOS:000266975300046,2009,10.1016/j.neuroimage.2008.12.055,0,0,0,0,0
000266975600014,WOS:000266975600014,2009,10.1016/j.neuroimage.2009.03.025,1,0,0,0,1
000266975600031,WOS:000266975600031,2009,10.1016/j.neuroimage.2009.03.033,0,0,0,0,0
000267019400013,WOS:000267019400013,2009,10.1162/jocn.2009.21137,1,0,0,0,1
000267019500009,WOS:000267019500009,2009,10.1162/jocn.2009.21091,1,0,0,0,1
000267098500001,WOS:000267098500001,2009,10.1016/j.bandl.2009.01.002,0,0,0,0,0
000267140600009,WOS:000267140600009,2009,10.1016/j.neulet.2009.04.059,0,0,0,0,0
000267189200002,WOS:000267189200002,2009,10.1016/j.neuropsychologia.2009.03.011,0,0,0,0,0
000267189200006,WOS:000267189200006,2009,10.1016/j.neuropsychologia.2009.03.020,0,0,0,0,0
000267189200007,WOS:000267189200007,2009,10.1016/j.neuropsychologia.2009.03.017,0,0,0,0,0
000267296100013,WOS:000267296100013,2009,10.1017/s003329170800500x,0,0,0,0,0
000267338500026,WOS:000267338500026,2009,10.1016/j.cub.2009.04.054,1,0,0,0,1
000267356500003,WOS:000267356500003,2009,10.1371/journal.pone.0005987,1,1,0,0,1
000267371900001,WOS:000267371900001,2009,10.1080/17470910802319710,0,0,0,0,0
000267371900002,WOS:000267371900002,2009,10.1080/17470910802571633,0,0,0,0,0
000267371900002,WOS:000267371900002,2009,10.1080/17470910802571633,0,0,0,0,0
000267371900003,WOS:000267371900003,2009,10.1080/17470910902801021,0,0,0,0,0
000267371900004,WOS:000267371900004,2009,10.1080/17470910902809487,1,0,0,0,1
000267371900005,WOS:000267371900005,2009,10.1080/17470910902826820,0,0,0,0,0
000267371900006,WOS:000267371900006,2009,10.1080/17470910902934400,0,0,0,0,0
000267371900007,WOS:000267371900007,2009,10.1080/17470910802649470,0,0,0,0,0
000267437600014,WOS:000267437600014,2009,10.1016/j.schres.2009.03.003,0,0,0,0,0
000267440700030,WOS:000267440700030,2009,10.1093/brain/awp103,1,0,1,0,1
000267456200003,WOS:000267456200003,2009,10.1016/j.ijpsycho.2008.12.017,1,0,0,0,1
000267564300081,WOS:000267564300081,2009,10.1073/pnas.0903253106,1,0,1,0,1
000267691900014,WOS:000267691900014,2009,10.1002/hbm.20653,0,0,0,0,0
000267691900022,WOS:000267691900022,2009,10.1002/hbm.20658,0,0,0,0,0
000267756900037,WOS:000267756900037,2009,10.1016/j.neuroimage.2009.04.069,1,0,0,0,1
000267787200008,WOS:000267787200008,2009,10.1159/000216542,1,0,0,0,1
000267796100092,WOS:000267796100092,2009,10.1073/pnas.0902666106,1,0,1,0,1
000267826200007,WOS:000267826200007,2009,10.1007/s10548-009-0093-6,1,0,0,1,1
000268068600003,WOS:000268068600003,2009,10.1007/s10803-009-0725-4,0,0,0,0,0
000268279900008,WOS:000268279900008,2009,10.1080/13607860902774402,1,0,0,1,0
000268405700014,WOS:000268405700014,2009,10.1371/journal.pbio.1000164,1,1,0,0,1
000268429400001,WOS:000268429400001,2009,10.1016/j.neulet.2009.06.023,0,0,0,0,0
000268444300005,WOS:000268444300005,2009,10.1111/j.1749-6632.2009.04545.x,0,0,0,0,0
000268444300018,WOS:000268444300018,2009,10.1111/j.1749-6632.2009.04508.x,0,0,0,0,0
000268530000001,WOS:000268530000001,2009,10.1037/a0016415,1,0,0,0,1
000268530000002,WOS:000268530000002,2009,10.1037/a0016503,1,0,0,0,1
000268530000003,WOS:000268530000003,2009,10.1037/a0016487,0,0,0,0,0
