Authors	Title	Publication Year	DOI	sample size before exclusion	sample_size_after.x	UT	p_oa	p_oa_gold	p_oa_bronze	p_oa_hybrid	p_oa_green	pub_block_begin	pub_block_end	p	mcs	tcs	mncs	mnjs	pp_top_perc	pp_uncited	prop_self_cits	int_cov	pp_collab	pp_int_collab	SO	NR	TC	Z9	U1	U2	SN	JI	PD	WC	SC	AU1_UN	standardized.coder.comment.y	p.value.	MF_short	MF_in_t_a_d_o	MF_clarity	MF_result_report	MF_result_report_clarity	MF_is_positive_finding	Paper_type	is_longtitudinal	paper_clarity	is_replication	is_exploratory	prereg	prereg_link	NA..1	altmetric_jid	issns	cohorts.pub	cohorts.sci	cohorts.com	context.all.count	context.all.mean	context.all.rank	context.all.pct	context.all.higher_than	context.journal.count	context.journal.mean	context.journal.rank	context.journal.pct	context.journal.higher_than	context.similar_age_3m.count	context.similar_age_3m.mean	context.similar_age_3m.rank	context.similar_age_3m.pct	context.similar_age_3m.higher_than	context.similar_age_journal_3m.count	context.similar_age_journal_3m.mean	context.similar_age_journal_3m.rank	context.similar_age_journal_3m.pct	context.similar_age_journal_3m.higher_than	authors1	authors2	authors3	authors4	type	altmetric_id	schema	is_oa	publisher_subjects.name1	publisher_subjects.name2	publisher_subjects.scheme1	publisher_subjects.scheme2	cited_by_posts_count	cited_by_tweeters_count	cited_by_accounts_count	last_updated	score	history.1y	history.6m	history.3m	history.1m	history.1w	history.6d	history.5d	history.4d	history.3d	history.2d	history.1d	history.at	added_on	published_on	scopus_subjects1	scopus_subjects2	readers.citeulike	readers.mendeley	readers.connotea	readers_count	images.small	images.medium	images.large	details_url	publisher_subjects.name3	publisher_subjects.scheme3	pmid	uri	authors5	cited_by_qna_count	subjects	scopus_subjects3	scopus_subjects4	issns1	issns2	issns3	abstract	abstract_source	authors6	authors7	authors8	cited_by_fbwalls_count	cited_by_feeds_count	cited_by_peer_review_sites_count	cited_by_msm_count	authors	publisher_subjects.name	publisher_subjects.scheme	cohorts.doc	publisher_subjects.name4	publisher_subjects.name5	publisher_subjects.name6	publisher_subjects.name7	publisher_subjects.scheme4	publisher_subjects.scheme5	publisher_subjects.scheme6	publisher_subjects.scheme7	cited_by_policies_count	authors9	authors10	subjects1	subjects2	subjects3	cited_by_gplus_count	handles	handle	publisher_subjects.name8	publisher_subjects.name9	publisher_subjects.scheme8	publisher_subjects.scheme9	authors11	authors12	authors13	authors14	authors15	authors16	pmc	scopus_subjects	cited_by_wikipedia_count	cited_by_videos_count	cited_by_pinners_count	cited_by_rdts_count
SEGUIN JR;PIHL RO;BOULERICE B;TREMBLAY RE;HARDEN PW	LOW PAIN SENSITIVITY AND STABILITY OF PHYSICAL AGGRESSION IN BOYS	1996	10.1111/J.1749-6632.1996.TB32557.X	177	177	isia1996bg59z00054	0	0	0	0	0	1981	2017	1	0	0	0	0.321424732977839	0	1	NULL	0.5	1	0	UNDERSTANDING AGGRESSIVE BEHAVIOR IN CHILDREN	12	0	0	0	1	0077-8923	ANN.NY ACAD.SCI.		"PSYCHOLOGY, BIOLOGICAL; PSYCHOLOGY, DEVELOPMENTAL; MULTIDISCIPLINARY SCIENCES; PSYCHIATRY; PSYCHOLOGY, SOCIAL"	PSYCHOLOGY; SCIENCE & TECHNOLOGY - OTHER TOPICS; PSYCHIATRY	MCGILL UNIV;UNIV MONTREAL																																																																																																																																												
SEMIN GR;ROSCH E;CHASSEIN J	A COMPARISON OF THE COMMONSENSE AND SCIENTIFIC CONCEPTIONS OF EXTROVERSION-INTROVERSION	1981	10.1002/EJSP.2420110105	33	33	isia1981ld64400005	1	0	0	0	1	1981	2017	1	22	22	0.788794279567034	0.419495139587923	0	0	0.290322580645161	NULL	0	0	EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY	43	31	31	0	1	0046-2772	EUR. J. SOC. PSYCHOL.		"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	UNIV MANNHEIM																																																																																																																																												
SHANG HP;YU WX	ASSESSING CHINESE MANAGERIAL COMPETENCIES FROM DIFFERENT PERSPECTIVES	2013	10.2224/SBP.2013.41.9.1469	350	284	isi000325632400006	0	0	0	0	0	1981	2017	1	0	0	0	0.237142438402214	0	1	1	0.551020408163265	1	1	SOCIAL BEHAVIOR AND PERSONALITY	49	1	1	0	16	0301-2212	SOC. BEHAV. PERS.		"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	LANZHOU UNIV	survey	0.05	"""In this study we found significant differences between subordinates’ selfevaluations and supervisors’ evaluations of subordinates. Subordinates’ selfevaluations were better than supervisors’ evaluations of subordinates"""	3	1	"""Results indicate that, except for communication skills (“communicating effectively”), the self- and supervisors’ assessments are statistically different, based on the t tests. ""  * p < .05, ** p < .01, *** p < .001."	0	1	2	0	2	0	1	0																																																																																																																														
SMITH LGE;POSTMES T	INTRA-GROUP INTERACTION AND THE DEVELOPMENT OF NORMS WHICH PROMOTE INTER-GROUP HOSTILITY	2009	10.1002/EJSP.464	20	20	isi000263960700011	0	0	0	0	0	1981	2017	1	18	18	0.808737309574366	0.732821355227347	0	0	0.333333333333333	0.605263157894737	1	1	EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY	44	29	29	2	14	0046-2772	EUR. J. SOC. PSYCHOL.	FEB	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	UNIV EXETER																																																																																																																																												
SONG C	SUPERVISORS' PATERNALISTIC LEADERSHIP INFLUENCES COLLEGE ENGLISH TEACHERS' TEACHING EFFICACY IN CHINA	2016	10.2224/SBP.2016.44.8.1315	731	674	isi000383858400008	0	0	0	0	0	1981	2017	1	1	1	0.342163138781614	0.232495466095199	0	0	0	0.222222222222222	0	0	SOCIAL BEHAVIOR AND PERSONALITY	37	2	2	3	12	0301-2212	SOC. BEHAV. PERS.		"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	HUNAN AGR UNIV																																																																																																																																												
SPINHOVEN P;PENNINX BW;VAN HEMERT AM;DE ROOIJ M;ELZINGA BM	COMORBIDITY OF PTSD IN ANXIETY AND DEPRESSIVE PREVALENCE AND SHARED RISK FACTORS	2014	10.1016/J.CHIABU.2014.01.017	2981	2402	isi000339863000005	0	0	0	0	0	1981	2017	1	39	39	7.48230393881797	1.61038028177031	1	0	0.0714285714285714	0.913793103448276	1	0	CHILD ABUSE & NEGLECT	59	55	56	2	38	0145-2134	CHILD ABUSE NEGL.	AUG	"FAMILY STUDIES; PSYCHOLOGY, SOCIAL; SOCIAL WORK"	FAMILY STUDIES; PSYCHOLOGY; SOCIAL WORK	LEIDEN UNIV																	4f6fa4ea3cf058f610002502	0145-2134				13429000	8.0710459789171	6939126	47	6403673	2418	7.8916532892015	1681	30	727	265717	11.990535541706	100379	61	162906	25	5.5545833333333	9	64	16	Philip Spinhoven	Brenda W. Penninx	Albert M. van Hemert	Mark de Rooij	article	7397277	1.5.4	FALSE	Psychology	Social Work	era	era	1		1	1535368183	2.5	0	0	0	0	0	0	0	0	0	0	0	2.5	1463158966	1406851200	Health Sciences	Social Sciences	0	197	0	197	https://badges.altmetric.com/?size=64&score=3&types=qqqqqqqq	https://badges.altmetric.com/?size=100&score=3&types=qqqqqqqq	https://badges.altmetric.com/?size=180&score=3&types=qqqqqqqq	http://www.altmetric.com/details.php?citation_id=7397277			24629482	http://linkinghub.elsevier.com/retrieve/pii/S0145213414000350	Bernet M. Elzinga	1	pediatrics	Psychology	Medicine																																																	
STELLAR JE;COHEN A;OVEIS C;KELTNER D	AFFECTIVE AND PHYSIOLOGICAL RESPONSES TO THE SUFFERING OF OTHERS: COMPASSION AND VAGAL ACTIVITY	2015	10.1037/PSPI0000010	51	51	isi000352321900004	1	0	0	0	1	1981	2017	1	25	25	4.63211979289122	2.65208485769263	1	0	0.107142857142857	0.849462365591398	1	1	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	98	45	46	2	63	0022-3514	J. PERS. SOC. PSYCHOL.	APR	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	UNIV CALIF BERKELEY																	4f6fa5163cf058f6100037a6		9	5		13025054	7.9309288851122	724498	94	12299936	6388	13.515517457335	804	87	5584	275362	8.0247792388901	17746	93	257596	40	17.871538461538	10	75	30	Jennifer E Stellar	Adam Cohen	Christopher Oveis	Dacher Keltner	article	3108503	1.5.4	FALSE	Psychology	Cognitive Science	era	era	20	14	17	1473627778	20.3	0	0	0	0	0	0	0	0	0	0	0	20.3	1422370987	1422230400	Psychology	Social Sciences	0	241	0	241	https://badges.altmetric.com/?size=64&score=21&types=ebtttttf	https://badges.altmetric.com/?size=100&score=21&types=ebtttttf	https://badges.altmetric.com/?size=180&score=21&types=ebtttttf	http://www.altmetric.com/details.php?citation_id=3108503	Marketing	era	25621856		Stellar JE		psychology			1939-1315	0022-3514 (Print)	0022-3514	"Compassion is an affective response to another's suffering and a catalyst of prosocial behavior. In the present studies, we explore the peripheral physiological changes associated with the experience of compassion. Guided by long-standing theoretical claims, we propose that compassion is associated with activation in the parasympathetic autonomic nervous system through the vagus nerve. Across 4 studies, participants witnessed others suffer while we recorded physiological measures, including heart rate, respiration, skin conductance, and a measure of vagal activity called respiratory sinus arrhythmia (RSA). Participants exhibited greater RSA during the compassion induction compared with a neutral control (Study 1), another positive emotion (Study 2), and a prosocial emotion lacking appraisals of another person's suffering (Study 3). Greater RSA during the experience of compassion compared with the neutral or control emotion was often accompanied by lower heart rate and respiration but no difference in skin conductance. In Study 4, increases in RSA during compassion positively predicted an established composite of compassion-related words, continuous self-reports of compassion, and nonverbal displays of compassion. Compassion, a core affective component of empathy and prosociality, is associated with heightened parasympathetic activity. (PsycINFO Database Record (c) 2015 APA, all rights reserved)."	pubmed	Cohen A	Oveis C	Keltner D	1	1	1																																						
STONEMAN Z;BRODY GH;MACKINNON CE	"SAME-SEX AND CROSS-SEX SIBLINGS - ACTIVITY CHOICES, ROLES, BEHAVIOR, AND GENDER STEREOTYPES"	1986	10.1007/BF00288227	80	80	isia1986f309000004	0	0	0	0	0	1981	2017	1	40	40	1.42831788273055	1.04671174133436	0	0	0.166666666666667	0.705882352941177	1	0	SEX ROLES	36	52	52	0	11	0360-0025	SEX ROLES	NOV	"PSYCHOLOGY, DEVELOPMENTAL; PSYCHOLOGY, SOCIAL; WOMEN'S STUDIES"	PSYCHOLOGY; WOMEN'S STUDIES	UNIV GEORGIA																																																																																																																																												
SWIM JK;SCOTT ED;SECHRIST GB;CAMPBELL B;STANGOR C	THE ROLE OF INTENT AND HARM IN JUDGMENTS OF PREJUDICE AND DISCRIMINATION	2003	10.1037/0022-3514.84.5.944	30	30	isi000182769800003	0	0	0	0	0	1981	2017	1	38	38	0.769867347362153	3.28206605980707	0	0	0.191489361702128	0.696969696969697	1	0	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	35	60	62	4	18	0022-3514	J. PERS. SOC. PSYCHOL.	MAY	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	PENN STATE UNIV		0.01	"""First, greater intent resulted in participants being more likely to
make judgments of prejudice and discrimination."""	3	1	"""Supporting our first hypothesis,
greater intent resulted in greater perceptions of prejudice, F(2,
56) ? 179.48, p ? .01 (M ? 1.32, 3.08, 5.47, SD ? 1.27, 1.41, .95,
from no intent to high intent, respectively). """	1	1	1	0	1	0	0	0	0		4f6fa5163cf058f6100037a6	0022-3514				8314034	7.0059620328577	4427018	27	2314619	5933	10.350747471342	3467	2	149	251798	12.500681882627	138809	34	88014	2	30.85	2	1	0	Janet K. Swim	Elizabeth D. Scott	Gretchen B. Sechrist	Bernadette Campbell	article	11006985	1.5.4	FALSE	Psychology	Cognitive Science	era	era	1		1	1472772072	1	0	0	0	0	0	0	0	0	0	0	0	1	1472818157	1041379200	Psychology	Social Sciences	0	83	0	83	https://badges.altmetric.com/?size=64&score=1&types=eeeeeeee	https://badges.altmetric.com/?size=100&score=1&types=eeeeeeee	https://badges.altmetric.com/?size=180&score=1&types=eeeeeeee	http://www.altmetric.com/details.php?citation_id=11006985	Marketing	era			Charles Stangor															1																																						
TADMOR CT;BERGER R;BRENICK A;ABU RAIYA H;BENATOV J	THE INTERGENERATIONAL EFFECT OF MATERNAL MULTICULTURAL EXPERIENCE ON CHILDREN'S TOLERANCE: AN EXAMPLE FROM PALESTINIANS AND JEWS IN ISRAEL	2017	10.1177/0022022117721973	118		isi000425719100004	0	0	0	0	0	1981	2017	1	0	0	0	0.59073603831987	0	1	1	0.857142857142857	1	1	JOURNAL OF CROSS-CULTURAL PSYCHOLOGY	30	2	2	5	6	0022-0221	J. CROSS-CULT. PSYCHOL.	OCT	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	TEL AVIV UNIV																	4f6fa5e93cf058f610005a22		1			11553067	7.3825592091189	7197060	23	2682884	572	7.8250788091068	381	23	135	265201	13.371389539969	152151	32	87247	8	3.7714285714286	7	12	1	Carmit T. Tadmor	Rony Berger	Alaina Brenick	Hisham Abu-Raiya	article	23357728	1.5.4	FALSE	Psychology	Cognitive Science	era	era	1	1	1	1501647539	1	0	0	0	0	0	0	0	0	0	0	0	1	1501647553	1501027200	Psychology	Social Sciences	0	11	0	11	https://badges.altmetric.com/?size=64&score=1&types=tttttttt	https://badges.altmetric.com/?size=100&score=1&types=tttttttt	https://badges.altmetric.com/?size=180&score=1&types=tttttttt	http://www.altmetric.com/details.php?citation_id=23357728					Joy Benatov					0022-0221	1552-5422																																															
TERRIS W;RAHHAL DK	GENERALIZED RESISTANCE TO EFFECTS OF PSYCHOLOGICAL STRESSORS	1969	10.1037/H0028073	80	80	isia1969e394500003	NULL	NULL	NULL	NULL	NULL	1981	2017	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	9	13	13	0	1	0022-3514	J. PERS. SOC. PSYCHOL.		"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	NOTREPORTED																																																																																																																																												
TERRY DJ;PELLY RN;LALONDE RN;SMITH JR	PREDICTORS OF CULTURAL ADJUSTMENT: INTERGROUP STATUS RELATIONS AND BOUNDARY PERMEABILITY	2006	10.1177/1368430206062080	113	80	isi000237194600007	0	0	0	0	0	1981	2017	1	15	15	0.419374320004591	0.816720897948334	0	0	0	0.66	1	1	GROUP PROCESSES & INTERGROUP RELATIONS	58	16	16	0	0	1368-4302	GROUP PROCESS INTERGROUP RELAT.	APR	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	UNIV QUEENSLAND	longti	0.05	"""Overall, the
study supported the utility of an intergroup
perspective and, more specifically, a social
identity theory perspective on the predictors of
cultural adjustment."""	3	1	"""3). When all variables
were entered into the equation, there were significant
Status ? Resource Permeability and
Resource Permeability ? Legitimacy interactions,
which were qualified by a significant
Status ? Resource Permeability ? Legitimacy
interaction.1 Further analysis revealed that the
Status ? Resource Permeability interaction was
significant at high levels of legitimacy (? = –.30,
t = –2.44, p < .05)"""	1	1	2	1	1	0	0	0	0	chose first of a reasonable amount of options for stats reference																																																																																																																												
THORNTON B	DEFENSIVE ATTRIBUTION OF RESPONSIBILITY - EVIDENCE FOR AN AROUSAL-BASED MOTIVATIONAL BIAS	1984	10.1037/0022-3514.46.4.721	48	48	isia1984sq00200001	0	0	0	0	0	1981	2017	1	31	31	0.819953529757426	2.85354726256575	0	0	0.162162162162162	0.636363636363636	0	0	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	44	41	41	0	6	0022-3514	J. PERS. SOC. PSYCHOL.		"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	UNIV MAINE																																																																																																																																												
TONG EMW;CHANG WCN;KOO LS	MULTIPLE PROCESSES ASSOCIATED WITH SELF-ESTEEM AS A FUNCTION OF ATTRIBUTE TYPES	2007	10.1016/J.JRP.2006.10.004	85	85	isi000247187500009	0	0	0	0	0	1981	2017	1	0	0	0	1.31758208169692	0	1	NULL	0.666666666666667	1	1	JOURNAL OF RESEARCH IN PERSONALITY	30	0	0	0	3	0092-6566	J. RES. PERS.	AUG	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	NATL UNIV SINGAPORE		0.05	"""The most important finding in this study is that there are multiple paths leading to selfesteem
depending on the type of attributes used."""	3	0	"from table: correlation coefficient of .26 was found to be significant at P <0.05 for PNI and later in table, a correlation coefficient of .3 was found to be signifcant at p < 0.01)."	1	1	2	0	1	0	0	0	0																																																																																																																													
