ut,label,cluster_id1,n_pubs,label1,label2,label3,label4,label5
000263706800001,WOS:000263706800001,1552,7382,facial attractiveness,evolutionary psychology,fertility,menstrual cycle,mate preference
000263706800002,WOS:000263706800002,1096,9820,theory,intention,planned behavior,physical activity,implementation intention
000263706800003,WOS:000263706800003,1180,9289,birdsong,vocal learning,bengalese finch,vocal repertoire,song structure
000263706800004,WOS:000263706800004,2058,5239,phantom limb pain,rubber hand illusion,body ownership,agency,interoception
000263706800005,WOS:000263706800005,2511,3718,congenital adrenal hyperplasia,hydroxylase deficiency,sex development,digit ratio,2d 4d
000263706800006,WOS:000263706800006,2363,4199,oxytocin,vasopressin,intranasal oxytocin,oxytocin receptor,oxtr
000263706800007,WOS:000263706800007,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000263706800008,WOS:000263706800008,1049,10156,mismatch negativity,mmn,auditory event,error processing,simon effect
000263738300003,WOS:000263738300003,175,21302,semantic dementia,visual word recognition,n400,alzheimer,primary progressive aphasia
000263815300007,WOS:000263815300007,1194,9192,fraction,numerosity,number sense,arithmetic,addition
000263833600010,WOS:000263833600010,175,21302,semantic dementia,visual word recognition,n400,alzheimer,primary progressive aphasia
000263945100004,WOS:000263945100004,175,21302,semantic dementia,visual word recognition,n400,alzheimer,primary progressive aphasia
000263945100005,WOS:000263945100005,2366,4186,alexithymia,trait emotional intelligence,emotional awareness,item toronto alexithymia scale,msceit
000264015900028,WOS:000264015900028,2842,2737,gesture,co speech gesture,motion event,color category,sign language
000264023100014,WOS:000264023100014,155,21975,stereotype threat,implicit association test,regulatory focus,hindsight bias,counterfactual thinking
000264034100001,WOS:000264034100001,1552,7382,facial attractiveness,evolutionary psychology,fertility,menstrual cycle,mate preference
000264040600001,WOS:000264040600001,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000264040600001,WOS:000264040600001,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000264040600002,WOS:000264040600002,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000264040600002,WOS:000264040600002,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000264040600003,WOS:000264040600003,139,22581,high functioning autism,autistic trait,asperger,asperger syndrome,autistic disorder
000264040600003,WOS:000264040600003,139,22581,high functioning autism,autistic trait,asperger,asperger syndrome,autistic disorder
000264040600004,WOS:000264040600004,139,22581,high functioning autism,autistic trait,asperger,asperger syndrome,autistic disorder
000264040600005,WOS:000264040600005,1213,9120,empathy,action observation,imitation,motor imagery,mirror neuron
000264040600006,WOS:000264040600006,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000264040600006,WOS:000264040600006,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000264044300007,WOS:000264044300007,1797,6303,narcissism,dark triad,callous unemotional trait,psychopathic trait,machiavellianism
000264044300014,WOS:000264044300014,24,35615,mini mental state examination,normative data,education,validity,lewy body
000264065500021,WOS:000264065500021,770,12354,infant,mind,false belief,imitation,month old infant
000264237300027,WOS:000264237300027,1039,10212,face recognition,face processing,prosopagnosia,unfamiliar face,facial identity
000264359700010,WOS:000264359700010,1803,6282,autobiographical memory,expressive writing,rumination,generativity,mental time travel
000264359700015,WOS:000264359700015,175,21302,semantic dementia,visual word recognition,n400,alzheimer,primary progressive aphasia
000264378400033,WOS:000264378400033,1039,10212,face recognition,face processing,prosopagnosia,unfamiliar face,facial identity
000264378500018,WOS:000264378500018,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000264387100007,WOS:000264387100007,2824,2795,deception,deception detection,information test,false confession,micro expression recognition
000264398000001,WOS:000264398000001,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000264398000002,WOS:000264398000002,1049,10156,mismatch negativity,mmn,auditory event,error processing,simon effect
000264398000002,WOS:000264398000002,1049,10156,mismatch negativity,mmn,auditory event,error processing,simon effect
000264398000003,WOS:000264398000003,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000264398000005,WOS:000264398000005,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000264398000005,WOS:000264398000005,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000264398000006,WOS:000264398000006,1049,10156,mismatch negativity,mmn,auditory event,error processing,simon effect
000264398000006,WOS:000264398000006,1049,10156,mismatch negativity,mmn,auditory event,error processing,simon effect
000264398000007,WOS:000264398000007,139,22581,high functioning autism,autistic trait,asperger,asperger syndrome,autistic disorder
000264398000007,WOS:000264398000007,139,22581,high functioning autism,autistic trait,asperger,asperger syndrome,autistic disorder
000264398000008,WOS:000264398000008,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000264398000009,WOS:000264398000009,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000264398000009,WOS:000264398000009,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000264398000010,WOS:000264398000010,3305,1436,williams syndrome,supravalvular aortic stenosis,tfii,williams,gtf2ird1
000264398000011,WOS:000264398000011,1039,10212,face recognition,face processing,prosopagnosia,unfamiliar face,facial identity
000264398000011,WOS:000264398000011,1039,10212,face recognition,face processing,prosopagnosia,unfamiliar face,facial identity
000264448300012,WOS:000264448300012,1039,10212,face recognition,face processing,prosopagnosia,unfamiliar face,facial identity
000264563200006,WOS:000264563200006,1049,10156,mismatch negativity,mmn,auditory event,error processing,simon effect
000264565800001,WOS:000264565800001,1162,9419,verbal short term memory,tower,working memory training,fluid intelligence,serial recall
000264565800002,WOS:000264565800002,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000264565800003,WOS:000264565800003,859,11533,mental health,bisexual,lesbian,transgender person,sexual orientation
000264565800004,WOS:000264565800004,1654,6929,orexin,melanin,hypocretin,narcolepsy,cataplexy
000264565800005,WOS:000264565800005,577,14410,navigation,medial temporal lobe,grid cell,human hippocampus,landmark
000264565800006,WOS:000264565800006,1840,6152,mental rotation,sex difference,spatial ability,landmark,route
000264565800007,WOS:000264565800007,577,14410,navigation,medial temporal lobe,grid cell,human hippocampus,landmark
000264565800008,WOS:000264565800008,2266,4527,cerebellum,cerebellar cortex,eyeblink conditioning,cerebellar purkinje cell,NULL
000264565800009,WOS:000264565800009,1317,8520,reconsolidation,fear extinction,latent inhibition,basolateral amygdala,d cycloserine
000264565800010,WOS:000264565800010,3028,2199,prepulse inhibition,startle,sensory gating,acoustic startle response,hyperekplexia
000264565800011,WOS:000264565800011,1951,5732,dysarthria,stuttering,foreign accent syndrome,auditory feedback,parkinson
000264565800012,WOS:000264565800012,32,34451,urocortin,maternal behavior,prenatal stress,aggression,crh
000264565800013,WOS:000264565800013,32,34451,urocortin,maternal behavior,prenatal stress,aggression,crh
000264565800014,WOS:000264565800014,32,34451,urocortin,maternal behavior,prenatal stress,aggression,crh
000264565800015,WOS:000264565800015,32,34451,urocortin,maternal behavior,prenatal stress,aggression,crh
000264565800017,WOS:000264565800017,243,19456,cocaine self administration,cue,craving,reinstatement,attentional bias
000264565800018,WOS:000264565800018,506,15258,elemental mercury,flue gas,coal,mercury speciation,fish consumption
000264565800019,WOS:000264565800019,1396,8212,charcot marie tooth disease,liability,pelizaeus merzbacher disease,pressure palsy,hereditary neuropathy
000264565800020,WOS:000264565800020,851,11606,olfactory bulb,olfactory dysfunction,olfactory epithelium,parkinson,alzheimer
000264565800021,WOS:000264565800021,2266,4527,cerebellum,cerebellar cortex,eyeblink conditioning,cerebellar purkinje cell,NULL
000264565800022,WOS:000264565800022,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000264565800023,WOS:000264565800023,32,34451,urocortin,maternal behavior,prenatal stress,aggression,crh
000264565800024,WOS:000264565800024,304,18333,spinal manipulation,whiplash,pregnancy,pelvic girdle pain,trunk muscle
000264565800026,WOS:000264565800026,243,19456,cocaine self administration,cue,craving,reinstatement,attentional bias
000264613200003,WOS:000264613200003,72,27557,untreated psychosis,auditory hallucination,delusion,schizotypy,paranoia
000264647700007,WOS:000264647700007,1357,8401,httlpr,temperament,serotonin transporter gene,comt,catechol o methyltransferase
000264696300019,WOS:000264696300019,261,18963,fmri data,functional connectivity,default mode network,fmri,resting state
000264696300025,WOS:000264696300025,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000264790600015,WOS:000264790600015,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000264854900013,WOS:000264854900013,1039,10212,face recognition,face processing,prosopagnosia,unfamiliar face,facial identity
000264889000006,WOS:000264889000006,436,16290,amyotrophic lateral sclerosis,frontotemporal dementia,tdp,primary progressive aphasia,alzheimer
000264949500005,WOS:000264949500005,2824,2795,deception,deception detection,information test,false confession,micro expression recognition
000264967500099,WOS:000264967500099,411,16706,visual working memory,attentional blink,spatial neglect,change blindness,return
000265059600001,WOS:000265059600001,770,12354,infant,mind,false belief,imitation,month old infant
000265077200023,WOS:000265077200023,1213,9120,empathy,action observation,imitation,motor imagery,mirror neuron
000265095500017,WOS:000265095500017,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000265186500020,WOS:000265186500020,1039,10212,face recognition,face processing,prosopagnosia,unfamiliar face,facial identity
000265275500002,WOS:000265275500002,770,12354,infant,mind,false belief,imitation,month old infant
000265413100012,WOS:000265413100012,770,12354,infant,mind,false belief,imitation,month old infant
000265484000001,WOS:000265484000001,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000265487500019,WOS:000265487500019,1803,6282,autobiographical memory,expressive writing,rumination,generativity,mental time travel
000265496500004,WOS:000265496500004,261,18963,fmri data,functional connectivity,default mode network,fmri,resting state
000265723800034,WOS:000265723800034,2461,3851,analogy,category learning,analogical reasoning,multidimensional scaling,category
000265727600002,WOS:000265727600002,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000265827700005,WOS:000265827700005,1213,9120,empathy,action observation,imitation,motor imagery,mirror neuron
000265895400001,WOS:000265895400001,1803,6282,autobiographical memory,expressive writing,rumination,generativity,mental time travel
000265895400001,WOS:000265895400001,1803,6282,autobiographical memory,expressive writing,rumination,generativity,mental time travel
000265895400002,WOS:000265895400002,1213,9120,empathy,action observation,imitation,motor imagery,mirror neuron
000265895400003,WOS:000265895400003,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000265895400003,WOS:000265895400003,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000265895400004,WOS:000265895400004,1213,9120,empathy,action observation,imitation,motor imagery,mirror neuron
000265895400004,WOS:000265895400004,1213,9120,empathy,action observation,imitation,motor imagery,mirror neuron
000265895400005,WOS:000265895400005,1049,10156,mismatch negativity,mmn,auditory event,error processing,simon effect
000265895400006,WOS:000265895400006,2512,3716,hand preference,handedness,brain asymmetry,footedness,dichotic listening
000265953900006,WOS:000265953900006,1765,6440,salivary cortisol,cortisol,cortisol awakening response,psychosocial stress,testosterone
000265972100001,WOS:000265972100001,263,18952,methylphenidate,attention deficit hyperactivity disorder,adhd,atomoxetine,adult adhd
000266027300003,WOS:000266027300003,263,18952,methylphenidate,attention deficit hyperactivity disorder,adhd,atomoxetine,adult adhd
000266031300006,WOS:000266031300006,261,18963,fmri data,functional connectivity,default mode network,fmri,resting state
000266031300009,WOS:000266031300009,261,18963,fmri data,functional connectivity,default mode network,fmri,resting state
000266031300010,WOS:000266031300010,261,18963,fmri data,functional connectivity,default mode network,fmri,resting state
000266065700017,WOS:000266065700017,2686,3198,disgust,moral judgment,disgust sensitivity,moral dilemma,contamination
000266177600006,WOS:000266177600006,1003,10514,obsessive compulsive disorder,tourette syndrome,tourette,ocd,trichotillomania
000266208900062,WOS:000266208900062,1213,9120,empathy,action observation,imitation,motor imagery,mirror neuron
000266227400009,WOS:000266227400009,175,21302,semantic dementia,visual word recognition,n400,alzheimer,primary progressive aphasia
000266231800019,WOS:000266231800019,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000266282800011,WOS:000266282800011,576,14416,false memory,false recognition,retrieval practice,eyewitness memory,recognition memory
000266307600003,WOS:000266307600003,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000266360400010,WOS:000266360400010,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000266360400011,WOS:000266360400011,2686,3198,disgust,moral judgment,disgust sensitivity,moral dilemma,contamination
000266458900001,WOS:000266458900001,1531,7478,prader willi syndrome,angelman syndrome,beckwith wiedemann syndrome,silver russell syndrome,genomic imprinting
000266458900002,WOS:000266458900002,851,11606,olfactory bulb,olfactory dysfunction,olfactory epithelium,parkinson,alzheimer
000266458900003,WOS:000266458900003,577,14410,navigation,medial temporal lobe,grid cell,human hippocampus,landmark
000266458900004,WOS:000266458900004,577,14410,navigation,medial temporal lobe,grid cell,human hippocampus,landmark
000266458900005,WOS:000266458900005,577,14410,navigation,medial temporal lobe,grid cell,human hippocampus,landmark
000266458900006,WOS:000266458900006,1178,9299,psd,neuroligin,postsynaptic density,dendritic spine,pdz domain
000266458900007,WOS:000266458900007,577,14410,navigation,medial temporal lobe,grid cell,human hippocampus,landmark
000266458900008,WOS:000266458900008,32,34451,urocortin,maternal behavior,prenatal stress,aggression,crh
000266458900009,WOS:000266458900009,1765,6440,salivary cortisol,cortisol,cortisol awakening response,psychosocial stress,testosterone
000266458900010,WOS:000266458900010,243,19456,cocaine self administration,cue,craving,reinstatement,attentional bias
000266458900011,WOS:000266458900011,32,34451,urocortin,maternal behavior,prenatal stress,aggression,crh
000266458900012,WOS:000266458900012,243,19456,cocaine self administration,cue,craving,reinstatement,attentional bias
000266458900013,WOS:000266458900013,32,34451,urocortin,maternal behavior,prenatal stress,aggression,crh
000266458900014,WOS:000266458900014,263,18952,methylphenidate,attention deficit hyperactivity disorder,adhd,atomoxetine,adult adhd
000266458900015,WOS:000266458900015,3028,2199,prepulse inhibition,startle,sensory gating,acoustic startle response,hyperekplexia
000266458900016,WOS:000266458900016,35,33831,endothelial function,arginase,endothelial nitric oxide synthase,nitrotyrosine,s nitrosothiol
000266458900017,WOS:000266458900017,577,14410,navigation,medial temporal lobe,grid cell,human hippocampus,landmark
000266458900018,WOS:000266458900018,2266,4527,cerebellum,cerebellar cortex,eyeblink conditioning,cerebellar purkinje cell,NULL
000266458900019,WOS:000266458900019,1317,8520,reconsolidation,fear extinction,latent inhibition,basolateral amygdala,d cycloserine
000266458900020,WOS:000266458900020,2266,4527,cerebellum,cerebellar cortex,eyeblink conditioning,cerebellar purkinje cell,NULL
000266458900021,WOS:000266458900021,2266,4527,cerebellum,cerebellar cortex,eyeblink conditioning,cerebellar purkinje cell,NULL
000266458900022,WOS:000266458900022,2017,5412,fragile x syndrome,fragile x mental retardation protein,fmr1 gene,fmrp,fragile x associated tremor ataxia syndrome
000266458900023,WOS:000266458900023,186,20972,fall,fall detection,older person,fear,older adult
000266458900024,WOS:000266458900024,2266,4527,cerebellum,cerebellar cortex,eyeblink conditioning,cerebellar purkinje cell,NULL
000266458900025,WOS:000266458900025,1898,5952,chemotherapy,nausea,aprepitant,palonosetron,vomiting
000266458900026,WOS:000266458900026,1317,8520,reconsolidation,fear extinction,latent inhibition,basolateral amygdala,d cycloserine
000266499600001,WOS:000266499600001,1049,10156,mismatch negativity,mmn,auditory event,error processing,simon effect
000266499600001,WOS:000266499600001,1049,10156,mismatch negativity,mmn,auditory event,error processing,simon effect
000266499600002,WOS:000266499600002,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000266499600002,WOS:000266499600002,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000266499600003,WOS:000266499600003,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000266499600003,WOS:000266499600003,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000266499600004,WOS:000266499600004,770,12354,infant,mind,false belief,imitation,month old infant
000266499600005,WOS:000266499600005,3031,2196,death anxiety,mortality salience,ostracism,terror management,social exclusion
000266499600005,WOS:000266499600005,3031,2196,death anxiety,mortality salience,ostracism,terror management,social exclusion
000266499600006,WOS:000266499600006,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000266499600006,WOS:000266499600006,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000266499600007,WOS:000266499600007,72,27557,untreated psychosis,auditory hallucination,delusion,schizotypy,paranoia
000266499600007,WOS:000266499600007,72,27557,untreated psychosis,auditory hallucination,delusion,schizotypy,paranoia
000266499600008,WOS:000266499600008,770,12354,infant,mind,false belief,imitation,month old infant
000266499600009,WOS:000266499600009,175,21302,semantic dementia,visual word recognition,n400,alzheimer,primary progressive aphasia
000266499600010,WOS:000266499600010,667,13483,religiosity,spiritual care,depression,health,patient
000266499600010,WOS:000266499600010,667,13483,religiosity,spiritual care,depression,health,patient
000266499600010,WOS:000266499600010,667,13483,religiosity,spiritual care,depression,health,patient
000266499600011,WOS:000266499600011,261,18963,fmri data,functional connectivity,default mode network,fmri,resting state
000266499600011,WOS:000266499600011,261,18963,fmri data,functional connectivity,default mode network,fmri,resting state
000266580500061,WOS:000266580500061,1552,7382,facial attractiveness,evolutionary psychology,fertility,menstrual cycle,mate preference
000266580700015,WOS:000266580700015,1803,6282,autobiographical memory,expressive writing,rumination,generativity,mental time travel
000266580800002,WOS:000266580800002,72,27557,untreated psychosis,auditory hallucination,delusion,schizotypy,paranoia
