PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	PM
J	Brodersen, Kay H.; Schofield, Thomas M.; Leff, Alexander P.; Ong, Cheng Soon; Lomakina, Ekaterina I.; Buhmann, Joachim M.; Stephan, Klaas E.								Generative Embedding for Model-Based Classification of fMRI Data								PLOS COMPUTATIONAL BIOLOGY				7	6					e1002079	10.1371/journal.pcbi.1002079			JUN 2011	2011	Decoding models, such as those underlying multivariate classification algorithms, have been increasingly used to infer cognitive or clinical brain states from measures of brain activity obtained by functional magnetic resonance imaging (fMRI). The practicality of current classifiers, however, is restricted by two major challenges. First, due to the high data dimensionality and low sample size, algorithms struggle to separate informative from uninformative features, resulting in poor generalization performance. Second, popular discriminative methods such as support vector machines (SVMs) rarely afford mechanistic interpretability. In this paper, we address these issues by proposing a novel generative-embedding approach that incorporates neurobiologically interpretable generative models into discriminative classifiers. Our approach extends previous work on trial-by-trial classification for electrophysiological recordings to subject-by-subject classification for fMRI and offers two key advantages over conventional methods: it may provide more accurate predictions by exploiting discriminative information encoded in 'hidden' physiological quantities such as synaptic connection strengths; and it affords mechanistic interpretability of clinical classifications. Here, we introduce generative embedding for fMRI using a combination of dynamic causal models (DCMs) and SVMs. We propose a general procedure of DCM-based generative embedding for subject-wise classification, provide a concrete implementation, and suggest good-practice guidelines for unbiased application of generative embedding in the context of fMRI. We illustrate the utility of our approach by a clinical example in which we classify moderately aphasic patients and healthy controls using a DCM of thalamo-temporal regions during speech processing. Generative embedding achieves a near-perfect balanced classification accuracy of 98% and significantly outperforms conventional activation-based and correlation-based methods. This example demonstrates how disease states can be detected with very high accuracy and, at the same time, be interpreted mechanistically in terms of abnormalities in connectivity. We envisage that future applications of generative embedding may provide crucial advances in dissecting spectrum disorders into physiologically more well-defined subgroups.		[Brodersen, Kay H.; Ong, Cheng Soon; Lomakina, Ekaterina I.; Buhmann, Joachim M.] ETH, Dept Comp Sci, Zurich, Switzerland; [Brodersen, Kay H.; Lomakina, Ekaterina I.; Stephan, Klaas E.] Univ Zurich, Lab Social & Neural Syst Res, Dept Econ, Zurich, Switzerland; [Schofield, Thomas M.; Leff, Alexander P.; Stephan, Klaas E.] UCL, Wellcome Trust Ctr Neuroimaging, London, England; [Brodersen, Kay H.] ETH, Dept Comp Sci, Zurich, Switzerland								95							Biochemical Research Methods; Mathematical & Computational Biology	WOS:000292381900024		
J	Cunningham, William A.; Johnsen, Ingrid R.; Waggoner, Ashley S.								Orbitofrontal cortex provides cross-modal valuation of self-generated stimuli								SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE				6	3			286	293		10.1093/scan/nsq038			JUN 2011	2011	Prior research has shown that the orbitofrontal cortex (OFC) plays an important role in the representation of the evaluation of stimuli, regardless of stimulus modality. Based on these findings, researchers have proposed that the OFC serves a common currency function, allowing for the direct comparison of different types of perceptual stimuli (e.g. food, drink, money). The present study was designed to extend this research and investigate whether these same regions of OFC that have been identified in previous research are involved in evaluating imagined stimuli. Specifically, we asked participants to draw on prior attitudinal knowledge to generate internal representations of liked and disliked exemplars from different categories during functional magnetic resonance imaging. The results of this study support the idea that imagined stimuli (regardless of stimulus category) are evaluated in the OFC using a common system that has been identified in previous research for externally perceived stimuli.		[Cunningham, William A.; Johnsen, Ingrid R.] Ohio State Univ, Columbus, OH 43210 USA; [Waggoner, Ashley S.] Indiana Univ, Bloomington, IN 47405 USA; [Cunningham, William A.] 140H Lazenby Hall,1827 Neil Ave, Columbus, OH 43210 USA								16							Neurosciences; Psychology; Psychology, Experimental	WOS:000291543600005		
J	Aupperle, Robin L.; Ravindran, Lakshmi; Tankersley, Dharol; Flagan, Taru; Stein, Nathan R.; Simmons, Alan N.; Stein, Murray B.; Paulus, Martin P.								Pregabalin Influences Insula and Amygdala Activation During Anticipation of Emotional Images								NEUROPSYCHOPHARMACOLOGY				36	7			1466	1477		10.1038/npp.2011.32			JUN 2011	2011	Pregabalin (PGB) has shown potential as an anxiolytic for treatment of generalized and social anxiety disorder. PGB binds to voltage-dependent calcium channels, leading to upregulation of GABA inhibitory activity and reduction in the release of various neurotransmitters. Previous functional magnetic resonance imaging (fMRI) studies indicate that selective serotonin reuptake inhibitors and benzodiazepines attenuate amygdala, insula, and medial prefrontal cortex activation during anticipation and emotional processing in healthy controls. The aim of this study was to examine whether acute PGB administration would attenuate activation in these regions during emotional anticipation. In this double-blind, placebo-controlled, randomized crossover study, 16 healthy controls completed a paradigm involving anticipation of negative and positive affective images during fMRI approximately 1 h after administration of placebo, 50, or 200 mg PGB. Linear mixed model analysis revealed that PGB was associated with (1) decreases in left amygdala and anterior insula activation and (2) increases in anterior cingulate (ACC) activation, during anticipation of positive and negative stimuli. There was also a region of the anterior amygdala in which PGB dose was associated with increased activation during anticipation of negative and decreased activation during anticipation of positive stimuli. Attenuation of amygdala and insula activation during anticipatory or emotional processing may represent a common regional brain mechanism for anxiolytics across drug classes. PGB induced increases in ACC activation could be a unique effect related to top-down modulation of affective processing. These results provide further support for the viability of using pharmaco-fMRI to determine the anxiolytic potential of pharmacologic agents. Neuropsychopharmacology (2011) 36, 1466-1477; doi:10.1038/npp.2011.32; published online 23 March 2011		[Aupperle, Robin L.] Univ Calif San Diego, Dept Psychiat, VA San Diego Healthcare Syst, La Jolla, CA 92037 USA; [Aupperle, Robin L.; Ravindran, Lakshmi; Simmons, Alan N.; Stein, Murray B.] Univ Calif San Diego, Psychiat Serv, Vet Affairs San Diego Hlth Care Syst, La Jolla, CA 92037 USA; [Simmons, Alan N.] Univ Calif San Diego, Res Serv, Vet Affairs San Diego Hlth Care Syst, La Jolla, CA 92037 USA; [Aupperle, Robin L.] Univ Calif San Diego, Dept Psychiat, VA San Diego Healthcare Syst, 8939 Villa La Jolla Dr,Suite 200, La Jolla, CA 92037 USA								40							Neurosciences; Pharmacology & Pharmacy; Psychiatry	WOS:000290617500015		
J	St Jacques, Peggy L.; Conway, Martin A.; Lowder, Matthew W.; Cabeza, Roberto								Watching My Mind Unfold versus Yours: An fMRI Study Using a Novel Camera Technology to Examine Neural Differences in Self-projection of Self versus Other Perspectives								JOURNAL OF COGNITIVE NEUROSCIENCE				23	6			1275	1284		10.1162/jocn.2010.21518			JUN 2011	2011	Self-projection, the capacity to re-experience the personal past and to mentally infer another person's perspective, has been linked to medial prefrontal cortex (mPFC). In particular, ventral mPFC is associated with inferences about one's own self, whereas dorsal mPFC is associated with inferences about another individual. In the present fMRI study, we examined self-projection using a novel camera technology, which employs a sensor and timer to automatically take hundreds of photographs when worn, in order to create dynamic visuospatial cues taken from a first-person perspective. This allowed us to ask participants to self-project into the personal past or into the life of another person. We predicted that self-projection to the personal past would elicit greater activity in ventral mPFC, whereas self-projection of another perspective would rely on dorsal mPFC. There were three main findings supporting this prediction. First, we found that self-projection to the personal past recruited greater ventral mPFC, whereas observing another person's perspective recruited dorsal mPFC. Second, activity in ventral versus dorsal mPFC was sensitive to parametric modulation on each trial by the ability to relive the personal past or to understand another's perspective, respectively. Third, task-related functional connectivity analysis revealed that ventral mPFC contributed to the medial temporal lobe network linked to memory processes, whereas dorsal mPFC contributed to the fronto-parietal network linked to controlled processes. In sum, these results suggest that ventral-dorsal subregions of the anterior midline are functionally dissociable and may differentially contribute to self-projection of self versus other.		[St Jacques, Peggy L.] Duke Univ, Ctr Cognit Neurosci, Durham, NC 27708 USA; [Conway, Martin A.] Univ Leeds, Leeds LS2 9JT, W Yorkshire, England; [St Jacques, Peggy L.] Duke Univ, Ctr Cognit Neurosci, Box 90999, Durham, NC 27708 USA								58							Neurosciences; Psychology, Experimental	WOS:000289063000001		
J	Suda, Masashi; Takei, Yuichi; Aoyama, Yoshiyuki; Narita, Kosuke; Sakurai, Noriko; Fukuda, Masato; Mikuni, Masahiko								Autistic Traits and Brain Activation during Face-to-Face Conversations in Typically Developed Adults								PLOS ONE				6	5					e20021	10.1371/journal.pone.0020021			MAY 27 2011	2011	Background: Autism spectrum disorders (ASD) are characterized by impaired social interaction and communication, restricted interests, and repetitive behaviours. The severity of these characteristics is posited to lie on a continuum that extends into the general population. Brain substrates underlying ASD have been investigated through functional neuroimaging studies using functional magnetic resonance imaging (fMRI). However, fMRI has methodological constraints for studying brain mechanisms during social interactions (for example, noise, lying on a gantry during the procedure, etc.). In this study, we investigated whether variations in autism spectrum traits are associated with changes in patterns of brain activation in typically developed adults. We used near-infrared spectroscopy (NIRS), a recently developed functional neuroimaging technique that uses near-infrared light, to monitor brain activation in a natural setting that is suitable for studying brain functions during social interactions. Methodology: We monitored regional cerebral blood volume changes using a 52-channel NIRS apparatus over the prefrontal cortex (PFC) and superior temporal sulcus (STS), 2 areas implicated in social cognition and the pathology of ASD, in 28 typically developed participants (14 male and 14 female) during face-to-face conversations. This task was designed to resemble a realistic social situation. We examined the correlations of these changes with autistic traits assessed using the Autism-Spectrum Quotient (AQ). Principal Findings: Both the PFC and STS were significantly activated during face-to-face conversations. AQ scores were negatively correlated with regional cerebral blood volume increases in the left STS during face-to-face conversations, especially in males. Conclusions: Our results demonstrate successful monitoring of brain function during realistic social interactions by NIRS as well as lesser brain activation in the left STS during face-to-face conversations in typically developed participants with higher levels of autistic traits.		[Suda, Masashi; Takei, Yuichi; Aoyama, Yoshiyuki; Narita, Kosuke; Sakurai, Noriko; Fukuda, Masato; Mikuni, Masahiko] Gunma Univ, Grad Sch Med, Dept Psychiat & Neurosci, Gunma, Japan; [Suda, Masashi] Gunma Univ, Grad Sch Med, Dept Psychiat & Neurosci, Gunma, Japan								27							Multidisciplinary Sciences	WOS:000291052500025		
J	Jurjanz, Luisa; Donix, Markus; Amanatidis, Eva C.; Meyer, Shirin; Poettrich, Katrin; Huebner, Thomas; Baeumler, Damaris; Smolka, Michael N.; Holthoff, Vjera A.								Visual Personal Familiarity in Amnestic Mild Cognitive Impairment								PLOS ONE				6	5					e20030	10.1371/journal.pone.0020030			MAY 20 2011	2011	Background: Patients with amnestic mild cognitive impairment are at high risk for developing Alzheimer's disease. Besides episodic memory dysfunction they show deficits in accessing contextual knowledge that further specifies a general concept or helps to identify an object or a person. Methodology/Principal Findings: Using functional magnetic resonance imaging, we investigated the neural networks associated with the perception of personal familiar faces and places in patients with amnestic mild cognitive impairment and healthy control subjects. Irrespective of stimulus type, patients compared to control subjects showed lower activity in right prefrontal brain regions when perceiving personally familiar versus unfamiliar faces and places. Both groups did not show different neural activity when perceiving faces or places irrespective of familiarity. Conclusions/Significance: Our data highlight changes in a frontal cortical network associated with knowledge-based personal familiarity among patients with amnestic mild cognitive impairment. These changes could contribute to deficits in social cognition and may reduce the patients' ability to transition from basic to complex situations and tasks.		[Jurjanz, Luisa; Donix, Markus; Amanatidis, Eva C.; Meyer, Shirin; Poettrich, Katrin; Huebner, Thomas; Baeumler, Damaris; Smolka, Michael N.; Holthoff, Vjera A.] Tech Univ Dresden, Div Old Age Psychiat, Dept Psychiat & Psychotherapy, Univ Hosp Carl Gustav Carus, Dresden, Germany; [Donix, Markus; Holthoff, Vjera A.] German Ctr Neurodegenerat Dis, Dresden, Germany; [Huebner, Thomas; Smolka, Michael N.] Tech Univ Dresden, Dept Psychol, Neuroimaging Ctr, Dresden, Germany; [Jurjanz, Luisa] Tech Univ Dresden, Div Old Age Psychiat, Dept Psychiat & Psychotherapy, Univ Hosp Carl Gustav Carus, Dresden, Germany								4							Multidisciplinary Sciences	WOS:000290793400032		
J	Kim, Jejoong; Park, Sohee; Blake, Randolph								Perception of Biological Motion in Schizophrenia and Healthy Individuals: A Behavioral and fMRI Study								PLOS ONE				6	5					e19971	10.1371/journal.pone.0019971			MAY 20 2011	2011	Background: Anomalous visual perception is a common feature of schizophrenia plausibly associated with impaired social cognition that, in turn, could affect social behavior. Past research suggests impairment in biological motion perception in schizophrenia. Behavioral and functional magnetic resonance imaging (fMRI) experiments were conducted to verify the existence of this impairment, to clarify its perceptual basis, and to identify accompanying neural concomitants of those deficits. Methodology/Findings: In Experiment 1, we measured ability to detect biological motion portrayed by point-light animations embedded within masking noise. Experiment 2 measured discrimination accuracy for pairs of point-light biological motion sequences differing in the degree of perturbation of the kinematics portrayed in those sequences. Experiment 3 measured BOLD signals using event-related fMRI during a biological motion categorization task. Compared to healthy individuals, schizophrenia patients performed significantly worse on both the detection (Experiment 1) and discrimination (Experiment 2) tasks. Consistent with the behavioral results, the fMRI study revealed that healthy individuals exhibited strong activation to biological motion, but not to scrambled motion in the posterior portion of the superior temporal sulcus (STSp). Interestingly, strong STSp activation was also observed for scrambled or partially scrambled motion when the healthy participants perceived it as normal biological motion. On the other hand, STSp activation in schizophrenia patients was not selective to biological or scrambled motion. Conclusion: Schizophrenia is accompanied by difficulties discriminating biological from non-biological motion, and associated with those difficulties are altered patterns of neural responses within brain area STSp. The perceptual deficits exhibited by schizophrenia patients may be an exaggerated manifestation of neural events within STSp associated with perceptual errors made by healthy observers on these same tasks. The present findings fit within the context of theories of delusion involving perceptual and cognitive processes.		[Kim, Jejoong; Park, Sohee; Blake, Randolph] Seoul Natl Univ, Dept Brain & Cognit Sci, Seoul, South Korea; [Kim, Jejoong; Park, Sohee; Blake, Randolph] Vanderbilt Univ, Dept Psychol, Nashville, TN 37240 USA; [Blake, Randolph] Vanderbilt Univ, Vanderbilt Vis Res Ctr, Nashville, TN USA; [Kim, Jejoong] Seoul Natl Univ, Dept Brain & Cognit Sci, Seoul, South Korea								48							Multidisciplinary Sciences	WOS:000290793400026		
J	Christoffels, Ingrid K.; van de Ven, Vincent; Waldorp, Lourens J.; Formisano, Elia; Schiller, Niels O.								The Sensory Consequences of Speaking: Parametric Neural Cancellation during Speech in Auditory Cortex								PLOS ONE				6	5					e18307	10.1371/journal.pone.0018307			MAY 19 2011	2011	When we speak, we provide ourselves with auditory speech input. Efficient monitoring of speech is often hypothesized to depend on matching the predicted sensory consequences from internal motor commands ( forward model) with actual sensory feedback. In this paper we tested the forward model hypothesis using functional Magnetic Resonance Imaging. We administered an overt picture naming task in which we parametrically reduced the quality of verbal feedback by noise masking. Presentation of the same auditory input in the absence of overt speech served as listening control condition. Our results suggest that a match between predicted and actual sensory feedback results in inhibition of cancellation of auditory activity because speaking with normal unmasked feedback reduced activity in the auditory cortex compared to listening control conditions. Moreover, during self-generated speech, activation in auditory cortex increased as the feedback quality of the self-generated speech decreased. We conclude that during speaking early auditory cortex is involved in matching external signals with an internally generated model or prediction of sensory consequences, the locus of which may reside in auditory or higher order brain areas. Matching at early auditory cortex may provide a very sensitive monitoring mechanism that highlights speech production errors at very early levels of processing and may efficiently determine the self-agency of speech input.		[Christoffels, Ingrid K.; Schiller, Niels O.] Leiden Univ, Leiden Inst Brain & Cognit, Leiden, Netherlands; [Christoffels, Ingrid K.; Schiller, Niels O.] Leiden Univ, Leiden Inst Psychol Res, Leiden, Netherlands; [van de Ven, Vincent; Formisano, Elia] Maastricht Univ, Fac Psychol & Neurosci, Dept Cognit Neurosci, Maastricht, Netherlands; [Waldorp, Lourens J.] Univ Amsterdam, Dept Psychol, Amsterdam, Netherlands; [Schiller, Niels O.] Netherlands Inst Adv Study Humanities & Social Sc, Wassenaar, Netherlands; [Christoffels, Ingrid K.] Leiden Univ, Leiden Inst Brain & Cognit, Leiden, Netherlands								35							Multidisciplinary Sciences	WOS:000290771200003		
J	Nixon, Devon C.; Prust, Morgan J.; Sambataro, Fabio; Tan, Hao-Yang; Mattay, Venkata S.; Weinberger, Daniel R.; Callicott, Joseph H.								Interactive Effects of DAOA (G72) and Catechol-O-Methyltransferase on Neurophysiology in Prefrontal Cortex								BIOLOGICAL PSYCHIATRY				69	10			1006	1008		10.1016/j.biopsych.2010.10.031			MAY 15 2011	2011	Background: Accumulating evidence indicates that genetic polymorphisms of D-amino acid oxidase activator (DAOA) (M24; rs1421292; T-allele) and catechol-O-methyltransferase (COMT) (Val(158)Met; rs4680) likely enhance susceptibility to schizophrenia. Previously, clinical association between DAOA M24 (T-allele) and a functionally inefficient 3-marker COMT haplotype (that included COMT Val(158)Met) uncovered epistatic effects on risk for schizophrenia. Therefore, we projected that healthy control subjects with risk genotypes for both DAOA M24 (T/T) and COMTVal(158)Met (Val/Val) would produce prefrontal inefficiency, a critical physiological marker of the dorsolateral prefrontal cortex (DLPFC) in schizophrenic patients influenced by both familial and heritable factors. Methods: With 3T blood oxygen level dependent functional magnetic resonance imaging data, we analyzed in SPM5 the proposed interaction of DAOA and COMT in 82 healthy volunteers performing an N-back executive working memory paradigm (2-back > 0-back). Results: As predicted, we detected a functional gene x gene interaction between DAOA and COMT in the DLPFC. Conclusions: The neuroimaging findings here of inefficient information processing in the prefrontal cortex seem to echo prior statistical epistasis between risk alleles for DAOA and COMT, albeit within a small sample. These in vivo results suggest that deleterious genotypes for DAOA and COMT might contribute to the pathophysiology of schizophrenia, perhaps through combined glutamatergic and dopaminergic dysregulation.		[Nixon, Devon C.; Prust, Morgan J.; Tan, Hao-Yang; Callicott, Joseph H.] NIMH, Unit Dynam Imaging Genet, Clin Brain Disorders Branch, Div Intramural Res Programs,NIH,Dept Hlth & Human, Bethesda, MD 20892 USA; [Sambataro, Fabio; Mattay, Venkata S.] NIMH, Neuroimaging Core Facil, Clin Brain Disorders Branch, Div Intramural Res Programs,NIH,Dept Hlth & Human, Bethesda, MD 20892 USA; [Nixon, Devon C.; Prust, Morgan J.; Sambataro, Fabio; Tan, Hao-Yang; Mattay, Venkata S.; Weinberger, Daniel R.; Callicott, Joseph H.] NIMH, Cognit & Psychosis Program, Clin Brain Disorders Branch, Div Intramural Res Programs,NIH,Dept Hlth & Human, Bethesda, MD 20892 USA; [Callicott, Joseph H.] NIMH, Unit Dynam Imaging Genet, Clin Brain Disorders Branch, Div Intramural Res Programs,NIH,Dept Hlth & Human, 10 Ctr Dr,Room 3C-117,MSC 1379, Bethesda, MD 20892 USA								25							Neurosciences; Psychiatry	WOS:000290302700019		
J	Oosterhof, Nikolaas N.; Wiestler, Tobias; Downing, Paul E.; Diedrichsen, Joern								A comparison of volume-based and surface-based multi-voxel pattern analysis								NEUROIMAGE				56	2			593	600		10.1016/j.neuroimage.2010.04.270			MAY 15 2011	2011	For functional magnetic resonance imaging (fMRI), multi-voxel pattern analysis (MVPA) has been shown to be a sensitive method to detect areas that encode certain stimulus dimensions. By moving a searchlight through the volume of the brain, one can continuously map the information content about the experimental conditions of interest to the brain. Traditionally, the searchlight is defined as a volume sphere that does not take into account the anatomy of the cortical surface. Here we present a method that uses a cortical surface reconstruction to guide voxel selection for information mapping. This approach differs in two important aspects from a volume-based searchlight definition. First, it uses only voxels that are classified as grey matter based on an anatomical scan. Second, it uses a surface-based geodesic distance metric to define neighbourhoods of voxels, and does not select voxels across a sulcus. We study here the influence of these two factors onto classification accuracy and onto the spatial specificity of the resulting information map. In our example data set, participants pressed one of four fingers while undergoing fMRI. We used MVPA to identify regions in which local fMRI patterns can successfully discriminate which finger was moved. We show that surface-based information mapping is a more sensitive measure of local information content, and provides better spatial selectivity. This makes surface-based information mapping a useful technique for a data-driven analysis of information representation in the cerebral cortex. (C) 2010 Elsevier Inc. All rights reserved.		[Oosterhof, Nikolaas N.; Wiestler, Tobias; Downing, Paul E.; Diedrichsen, Joern] Bangor Univ, Sch Psychol, Bangor, Gwynedd, Wales; [Wiestler, Tobias; Diedrichsen, Joern] UCL, Inst Cognit Neurosci, London WC1E 6BT, England; [Oosterhof, Nikolaas N.] Bangor Univ, Sch Psychol, Bangor, Gwynedd, Wales								72							Neurosciences; Neuroimaging; Radiology, Nuclear Medicine & Medical Imaging	WOS:000290081900018		
J	Brodersen, Kay H.; Haiss, Florent; Ong, Cheng Soon; Jung, Fabienne; Tittgemeyer, Marc; Buhmann, Joachim M.; Weber, Bruno; Stephan, Klaas E.								Model-based feature construction for multivariate decoding								NEUROIMAGE				56	2			601	615		10.1016/j.neuroimage.2010.04.036			MAY 15 2011	2011	Conventional decoding methods in neuroscience aim to predict discrete brain states from multivariate correlates of neural activity. This approach faces two important challenges. First, a small number of examples are typically represented by a much larger number of features, making it hard to select the few informative features that allow for accurate predictions. Second, accuracy estimates and information maps often remain descriptive and can be hard to interpret. In this paper, we propose a model-based decoding approach that addresses both challenges from a new angle. Our method involves (i) inverting a dynamic causal model of neurophysiological data in a trial-by-trial fashion; (ii) training and testing a discriminative classifier on a strongly reduced feature space derived from trial-wise estimates of the model parameters; and (iii) reconstructing the separating hyperplane. Since the approach is model-based, it provides a principled dimensionality reduction of the feature space; in addition, if the model is neurobiologically plausible, decoding results may offer a mechanistically meaningful interpretation. The proposed method can be used in conjunction with a variety of modelling approaches and brain data, and supports decoding of either trial or subject labels. Moreover, it can supplement evidence-based approaches for model-based decoding and enable structural model selection in cases where Bayesian model selection cannot be applied. Here, we illustrate its application using dynamic causal modelling (DCM) of electrophysiological recordings in rodents. We demonstrate that the approach achieves significant above-chance performance and, at the same time, allows for a neurobiological interpretation of the results. (C) 2010 Elsevier Inc. All rights reserved.		[Brodersen, Kay H.; Stephan, Klaas E.] Univ Zurich, Inst Empir Res Econ, Lab Social & Neural Syst Res, CH-8006 Zurich, Switzerland; [Brodersen, Kay H.; Ong, Cheng Soon; Buhmann, Joachim M.] Swiss Fed Inst Technol, Dept Comp Sci, Zurich, Switzerland; [Haiss, Florent; Weber, Bruno] Univ Zurich, Inst Pharmacol & Toxicol, CH-8006 Zurich, Switzerland; [Jung, Fabienne; Tittgemeyer, Marc] Max Planck Inst Neurol Res, Cologne, Germany; [Stephan, Klaas E.] UCL, Wellcome Trust Ctr Neuroimaging, London WC1E 6BT, England; [Brodersen, Kay H.] Univ Zurich, Inst Empir Res Econ, Lab Social & Neural Syst Res, Blumlisalpstr 10, CH-8006 Zurich, Switzerland								22							Neurosciences; Neuroimaging; Radiology, Nuclear Medicine & Medical Imaging	WOS:000290081900019		
J	Clithero, John A.; Smith, David V.; Carter, R. McKell; Huettel, Scott A.								Within- and cross-participant classifiers reveal different neural coding of information								NEUROIMAGE				56	2			699	708		10.1016/j.neuroimage.2010.03.057			MAY 15 2011	2011	Analyzing distributed patterns of brain activation using multivariate pattern analysis (MVPA) has become a popular approach for using functional magnetic resonance imaging (fMRI) data to predict mental states. While the majority of studies currently build separate classifiers for each participant in the sample, in principle a single classifier can be derived from and tested on data from all participants. These two approaches, within- and cross-participant classification, rely on potentially different sources of variability and thus may provide distinct information about brain function. Here, we used both approaches to identify brain regions that contain information about passively received monetary rewards (i.e., images of currency that influenced participant payment) and social rewards (i.e., images of human faces). Our within-participant analyses implicated regions in the ventral visual processing stream including fusiform gyrus and primary visual cortex and ventromedial prefrontal cortex (VMPFC). Two key results indicate these regions may contain statistically discriminable patterns that contain different informational representations. First, cross-participant analyses implicated additional brain regions, including striatum and anterior insula. The cross-participant analyses also revealed systematic changes in predictive power across brain regions, with the pattern of change consistent with the functional properties of regions. Second, individual differences in classifier performance in VMPFC were related to individual differences in preferences between our two reward modalities. We interpret these results as reflecting a distinction between patterns showing participant-specific functional organization and those indicating aspects of brain organization that generalize across individuals. (C) 2010 Elsevier Inc. All rights reserved.		[Huettel, Scott A.] Duke Univ, Levine Sci Res Ctr B203, Dept Psychol & Neurosci, Durham, NC 27708 USA; [Clithero, John A.] Duke Univ, Dept Econ, Durham, NC 27708 USA; [Carter, R. McKell] Duke Univ, Dept Neurobiol, Durham, NC 27708 USA; [Clithero, John A.; Smith, David V.; Carter, R. McKell; Huettel, Scott A.] Duke Univ, Ctr Cognit Neurosci, Durham, NC 27708 USA; [Huettel, Scott A.] Duke Univ, Levine Sci Res Ctr B203, Dept Psychol & Neurosci, Box 90999, Durham, NC 27708 USA								39							Neurosciences; Neuroimaging; Radiology, Nuclear Medicine & Medical Imaging	WOS:000290081900028		
J	Wu, Dingcheng; Loke, Ivy Chiu; Xu, Fen; Lee, Kang								Neural correlates of evaluations of lying and truth-telling in different social contexts								BRAIN RESEARCH				1389				115	124		10.1016/j.brainres.2011.02.084			MAY 10 2011	2011	The present study examined the neural correlates of evaluations of both lying and truth-telling in different social contexts using fMRI methodology. The results demonstrated the differentiation between lying and truth-telling and between different types of lying in a network of brain regions. These regions included bilateral superior frontal gyrus (SFG), bilateral inferior parietal lobule (IPL), bilateral cuneus, right lingual gyrus (LG), right precuneus, and left postcentral gyrus (PoCG). Additionally, we found that activations in the right LG, the left IPL and the left PoCG were correlated with the off-line evaluations of truthful and untruthful communications about good and bad acts in different social contexts. These results suggest that the judgments of lying and truth-telling involving a third party might not be emotion-arousing but involve rational processing. This study is among the first to demonstrate that evaluations of truthful and untruthful communications in different social contexts can be differentiated in terms of brain BOLD (blood-oxygen-level-dependent) activities. (C) 2011 Elsevier B.V. All rights reserved.		[Wu, Dingcheng; Xu, Fen] Beijing Normal Univ, State Key Lab Cognit Neurosci & Learning, Beijing 100875, Peoples R China; [Wu, Dingcheng; Xu, Fen] Zhejiang Sci Tech Univ, Dept Psychol, Hangzhou, Zhejiang, Peoples R China; [Loke, Ivy Chiu; Lee, Kang] Univ Toronto, Inst Child Study, Toronto, ON, Canada; [Xu, Fen] Beijing Normal Univ, State Key Lab Cognit Neurosci & Learning, Beijing 100875, Peoples R China								18							Neurosciences	WOS:000290886300012		
J	Ly, Martina; Haynes, M. Ryan; Barter, Joseph W.; Weinberger, Daniel R.; Zink, Caroline F.								Subjective Socioeconomic Status Predicts Human Ventral Striatal Responses to Social Status Information								CURRENT BIOLOGY				21	9			794	797		10.1016/j.cub.2011.03.050			MAY 10 2011	2011	The enormous influence of hierarchical rank on social interactions [1] suggests that neural mechanisms exist to process status-related information [2] and ascribe value to it. The ventral striatum is prominently implicated in processing value and salience, independent of hedonic properties [3, 4], and a functional magnetic resonance imaging (fMRI) study of social status perception in humans demonstrated that viewing higher-ranked compared to lower-ranked individuals evokes a ventral striatal response [5], indicative of a greater assignment of value/salience to higher status. Consistent with this interpretation, nonhuman primates value information associated with higher-ranked conspecifics more than lower-ranked, as illustrated using a choice paradigm in which monkeys preferentially take the opportunity to view high-status monkeys [6]. Interestingly, this status-related value assignment in nonhuman primates is influenced by one's own hierarchical rank: high-status monkeys preferentially attend to conspecifics of high status, whereas low-status monkeys will also attend to other low-status monkeys [7]. Complementary to these findings, using fMRI and a social status judgment task in humans, we suggest a neurobiological mechanism by which one's own relative hierarchical rank influences the value attributed to particular social status information by demonstrating that one's subjective socioeconomic status differentially influences ventral striatal activity during processing of statusrelated information.		[Ly, Martina; Haynes, M. Ryan; Barter, Joseph W.; Weinberger, Daniel R.; Zink, Caroline F.] NIMH, Genes Cognit & Psychosis Program, NIH, Bethesda, MD 20892 USA; [Zink, Caroline F.] NIMH, Genes Cognit & Psychosis Program, NIH, Bethesda, MD 20892 USA								48							Biochemistry & Molecular Biology; Biology; Cell Biology	WOS:000290553800032		
